person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw,review_decision,review_note
P000083,1-01-013-0083,32,Александровский,Александровское,TRUE,1876,58,Ссыльнокаторжный,Жилец,Женат на родине,Чернорабочий,,РГБ № 2050,,
P000087,1-01-015-0087,32,Александровский,Александровское,TRUE,1878,61,Ссыльнокаторжный,Жилец,Холост,Чернорабочий,,РГБ № 2054,,
P000114,1-02-000-0019,34,Александровский,Пост Александровский,TRUE,1878,54,Ссыльнокаторжный,Прислуга,Холост,,,РГБ № 1030,,
P000132,1-02-000-0037,35,Александровский,Пост Александровский,TRUE,1875,60,Ссыльнокаторжный,Хозяин,Вдов,Сторож,,РГБ № 1050,,
P000203,1-02-009-0108,39,Александровский,Пост Александровский,TRUE,1875,40,Ссыльнокаторжный,Хозяин,Холост,,,РГБ № 36,,
P000213,1-02-011-0118,40,Александровский,Пост Александровский,TRUE,1879,45,Поселенец,Жилец,Холост,,,РГБ № 44,,
P000269,1-02-023-0174,43,Александровский,Пост Александровский,TRUE,1874,49,Поселенец,Жилец,Женат на Сахалине,Младший надзиратель,,РГБ № 78,,
P000289,1-02-028-0194,44,Александровский,Пост Александровский,TRUE,1878,45,Ссыльнокаторжная,Жена,Женат на Сахалине,,,РГБ № 94,,
P000393,1-02-051-0298,51,Александровский,Пост Александровский,TRUE,1879,32,Ссыльнокаторжный,Хозяин,Холост,Сапожник,,РГБ № 175,,
P000425,1-02-055-0330,52,Александровский,Пост Александровский,TRUE,1875,67,Поселенец,Жилец,Женат на родине,,,РГБ № 200,,
P000468,1-02-064-0373,55,Александровский,Пост Александровский,TRUE,1878,70,Поселенец,Жилец,Женат на родине,Чернорабочий,,РГБ № 234,,
P000513,1-02-074-0418,58,Александровский,Пост Александровский,TRUE,1875,46,Поселка,Сожительница,Женат на родине,,,РГБ № 272,,
P000586,1-02-091-0491,62,Александровский,Пост Александровский,TRUE,1876,30,Ссыльнокаторжный,Жилец,Женат на родине,Красильщик,Жена живет у Мыльникова,РГБ № 332,,
P000611,1-02-097-0516,64,Александровский,Пост Александровский,TRUE,1877,37,Ссыльнокаторжный,Жилец,Холост,Чернорабочий,Ташкентская область,РГБ № 352,,
P000616,1-02-098-0521,64,Александровский,Пост Александровский,TRUE,1872,50,Ссыльнокаторжный,Жилец,,Сапожник,,РГБ № 355,,
P000733,1-02-149-0638,72,Александровский,Пост Александровский,TRUE,1877,58,Ссыльнокаторжный,Жилец,Вдов,Слесарь,1 Кирпичная,РГБ № 456,,
