person_id,source_position_id,page_number,district,settlement,allowance_status,arrival_year,age,legal_status_norm,family_status_norm,marriage_status_norm,occupation_norm,comments,notes_raw
P000061,1-01-010-0061,30,Александровский,Александровское,TRUE,,2,Сын поселенца,Сын,,,,РГБ № 5623
P000111,1-02-000-0016,34,Александровский,Пост Александровский,TRUE,,37,Мещанин,,Холост,Надзиратель,,РГБ № 1037
P000118,1-02-000-0023,34,Александровский,Пост Александровский,TRUE,,21,Ссыльнокаторжная,Прислуга,Вдов,,,РГБ № 1033
P000125,1-02-000-0030,35,Александровский,Пост Александровский,TRUE,,18,Сын поселенца,,Холост,Телеграфист,,РГБ № 7183
P000135,1-02-000-0040,35,Александровский,Пост Александровский,TRUE,,65,Ссыльнокаторжный,,Женат на родине,Перевозчик,Анастасия Савельева 49. Алекс. Савельев 48. Ярцев 43. Родилось мужчин 34 женщин 26. Умерло мужчин 69 женщин 13,РГБ № 1052
P000167,1-02-004-0072,37,Александровский,Пост Александровский,TRUE,,20,Ссыльнокаторжная,Сожительница,Вдов,,Ташкент,РГБ № 7158
P000208,1-02-010-0113,40,Александровский,Пост Александровский,TRUE,,6,Дочь поселки,Незаконнорожденная дочь,,,205,РГБ № 4325
P000214,1-02-012-0119,40,Александровский,Пост Александровский,TRUE,,37,Ссыльнокаторжная,Хозяйка,Вдов,,,РГБ № 45
P000245,1-02-018-0150,42,Александровский,Пост Александровский,TRUE,,0,Сын ссыльнокаторжного,Сын,,,,РГБ № 4821
P000283,1-02-027-0188,44,Александровский,Пост Александровский,TRUE,,12,Дочь поселенца,Дочь,,,,РГБ № 4589
P000284,1-02-027-0189,44,Александровский,Пост Александровский,TRUE,,10,Дочь поселенца,Дочь,,,,РГБ № 4262
P000285,1-02-027-0190,44,Александровский,Пост Александровский,TRUE,,3,Дочь поселенца,Дочь,,,,РГБ № 5234
P000286,1-02-027-0191,44,Александровский,Пост Александровский,TRUE,,27,Ссыльнокаторжный,Жилец,Холост,Писарь,,РГБ № 91
P000327,1-02-036-0232,47,Александровский,Пост Александровский,TRUE,,4,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,197,РГБ № 4021
P000333,1-02-037-0238,47,Александровский,Пост Александровский,TRUE,,1,Сын ссыльнокаторжной,Незаконнорожденный сын,,,196,РГБ № 5516
P000344,1-02-039-0249,48,Александровский,Пост Александровский,TRUE,,2,Дочь ссыльнокаторжного,Дочь,,,,РГБ № 4973
P000390,1-02-050-0295,50,Александровский,Пост Александровский,TRUE,,2,Дочь ссыльнокаторжной,Незаконнорожденная дочь,,,186,РГБ № 5721
P000392,1-02-050-0297,50,Александровский,Пост Александровский,TRUE,,40,Ссыльнокаторжный,Жилец,Вдов,Пильщик,,РГБ № 174
