family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Хозяин,2674,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Жена,644,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Сожительница,632,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Совладелец,570,Совладелец,owner_approved,Explicit Совладелец wording.,approve,Совладелец,
Жилец,510,Жилец,owner_approved,Explicit Жилец wording.,approve,Жилец,
Сын,447,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Дочь,396,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Незаконнорожденный сын,227,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденная дочь,223,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
,122,,owner_approved,Source family_status is blank.,approve,,
Работник,105,Работник,owner_approved,Explicit Работник wording.,approve,Работник,
Жена жильца,95,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Жена совладельца,63,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Хозяйка,60,Хозяйка,owner_approved,Explicit Хозяйка wording.,approve,Хозяйка,
Жилица,44,Жилица,owner_approved,Explicit Жилица wording.,approve,Жилица,
хозяин,40,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Дочь совладельца,37,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Сожительница совладельца,36,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сын совладельца,28,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
дочь,27,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Сын жильца,24,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
сын,21,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Сожитель,19,Сожитель,owner_approved,Explicit Сожитель wording.,approve,Сожитель,
жена,19,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
Дочь жильца,18,Дочь,owner_approved,Explicit Дочь wording.,approve,Дочь,
Сожительница жильца,17,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Прислуга,15,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Прислуга,
Приемная дочь,14,Приемная дочь,owner_approved,Explicit Приемная дочь wording.,approve,Приемная дочь,
Незаконнорожденная дочь сожительницы,13,Незаконнорожденная дочь,owner_approved,Explicit незаконнорожденная дочь wording.,approve,Незаконнорожденная дочь,
сожительница,13,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Приемный сын,11,Приемный сын,owner_approved,Explicit Приемный сын wording.,approve,Приемный сын,
Незаконнорожденный сын сожительницы,8,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Совладелица,8,Совладелица,owner_approved,Explicit Совладелица wording.,approve,Совладелица,
Сожительница хозяина,8,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Хозяин квартиры,8,Хозяин,owner_approved,Explicit Хозяин wording.,approve,Хозяин,
Брат,7,Брат,owner_approved,Explicit Брат wording.,approve,Брат,
Незаконнорожденный сын жилицы,7,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Сын сожительницы,7,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Жена хозяина,6,Жена,owner_approved,Explicit Жена wording.,approve,Жена,
работник,6,Работник,owner_approved,Explicit Работник wording.,approve,Работник,
Внучка,5,Внучка,owner_approved,Explicit Внучка wording.,approve,Внучка,
