family_status,record_count,family_status_norm_proposed,review_status,proposal_basis,owner_decision,owner_family_status_norm,reviewer_notes
Муж. хозяин,4,Муж,owner_approved,Explicit Муж wording.,approve,Хозяин,
Хозяйка. жена,4,Жена,owner_approved,Compound source wording explicitly includes Жена.,approve,Жена,
Двоюродный брат,1,Двоюродный брат,owner_approved,Explicit Двоюродный брат wording.,approve,Брат,
Дочь сына. Внучка,1,Внучка,owner_approved,Compound source wording explicitly includes Внучка.,approve,Внучка,
Жилец. Совладелец,1,Совладелец,owner_approved,Compound source wording explicitly includes Совладелец.,approve,Совладелец,
Жилица. Сожительница Фисенко,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Кухарка,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Кухарка,
На воспитании. Сын,1,Приемный сын,owner_approved,Explicit Приемный сын wording.,approve,Сын,
Незаконнорожденный сын Шуликиной от Алексеева,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Незаконнорожденный сын. Приемный,1,Незаконнорожденный сын,owner_approved,Explicit незаконнорожденный сын wording.,approve,Незаконнорожденный сын,
Нянька,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Нянька,
Приемыш жильца,1,Приемыш,owner_approved,Приемыш requires review against accompanying relationship wording.,approve,Приемный сын,
Приемыш незаконный внук,1,Приемыш,owner_approved,Приемыш requires review against accompanying relationship wording.,approve,Приемный сын,
Служанка,1,Прислуга,owner_approved,Explicit Прислуга wording.,approve,Служанка,
Сожитель хозяйки. Сожитель,1,Сожитель,owner_approved,Explicit Сожитель wording.,approve,Сожитель,
Сожительница Щетинина. Сожительница,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница и совладелица,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница хозяина. Хозяйка,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сожительница хозяйка,1,Сожительница,owner_approved,Explicit Сожительница wording.,approve,Сожительница,
Сын каюра. Сын,1,Сын,owner_approved,Explicit Сын wording.,approve,Сын,
Хозяйка. Жена,1,Жена,owner_approved,Compound source wording explicitly includes Жена.,approve,Жена,
