illness,record_count,illness_norm_proposed,review_tier,proposal_basis,owner_decision,owner_illness_norm,reviewer_notes
,7393,,straightforward,Blank source value.,approve,,
Богадельщик,7,Богадельщик,straightforward,Already the approved category.,approve,Богадельщик,
Сифилис,7,Сифилис,straightforward,Already categorical.,approve,Сифилис,
Слепой,4,Слепота,straightforward,Gender-neutral condition noun.,approve,Слепота,
В богадельщиках,3,Богадельщик,straightforward,Approved analytical category.,approve,Богадельщик,
Психическое расстройство,3,Психическое расстройство,straightforward,Already categorical.,approve,Психическое расстройство,
"Водянкой, в богадельщиках",2,Водянка; Богадельщик,owner_review,Compound condition and institutional category.,approve,Водянка; Богадельщик,
Псих,2,Психическое расстройство,owner_review,Interpret abbreviated historical wording.,approve,Психическое расстройство,
Слепая,2,Слепота,straightforward,Gender-neutral condition noun.,approve,Слепота,
Удушье,2,Удушье,straightforward,Already categorical.,approve,Удушье,
Бронхиальный катар,1,Бронхиальный катар,straightforward,Already categorical.,approve,Бронхиальный катар,
Глуха,1,Глухота,straightforward,Gender-neutral condition noun.,approve,Глухота,
Глухая,1,Глухота,straightforward,Gender-neutral condition noun.,approve,Глухота,
Женская болезнь,1,Женская болезнь,owner_review,Historically vague condition; preserve wording.,approve,Женская болезнь,
Застарелый вывих в левом локтевом сочленении,1,Застарелый вывих в левом локтевом сочленении,owner_corrected,Preserve owner-approved historical wording.,correct,Застарелый вывих в левом локтевом сочленении,
Контужен,1,Контужен,owner_corrected,Preserve owner-approved historical wording.,correct,Контужен,
Коньюктивит,1,Конъюнктивит,straightforward,Correct spelling.,approve,Конъюнктивит,
Левая рука не работает,1,Левая рука не работает,owner_corrected,Preserve owner-approved historical wording.,correct,Левая рука не работает,
Немой,1,Немой,owner_corrected,Preserve owner-approved historical wording.,correct,Немой,
Плеврит,1,Плеврит,straightforward,Already categorical.,approve,Плеврит,
Разбита параличом,1,Разбита параличом,owner_corrected,Preserve owner-approved historical wording.,correct,Разбита параличом,
Рак,1,Рак,straightforward,Already categorical.,approve,Рак,
Ревматизм,1,Ревматизм,straightforward,Already categorical.,approve,Ревматизм,
Ревматизм и катар желудка,1,Ревматизм; Катар желудка,owner_review,Compound historical conditions.,approve,Ревматизм; Катар желудка,
Слаб,1,Слабосилен,owner_corrected,Normalize to the owner-approved category.,correct,Слабосилен,
Слабое зрение,1,Слабое зрение,straightforward,Already a condition phrase.,approve,Слабое зрение,
Слабосилен,1,Слабосилен,owner_corrected,Preserve owner-approved historical wording.,correct,Слабосилен,
Слеп и помешан умом,1,Слепота; Психическое расстройство,owner_review,Compound historical wording.,approve,Слепота; Психическое расстройство,
Хронический катар желудка и кишок,1,Хронический катар желудка и кишок,straightforward,Preserve historical diagnostic wording.,approve,Хронический катар желудка и кишок,
Чахотка,1,Чахотка,straightforward,Preserve historical condition term.,approve,Чахотка,
Чахотка и сифилис,1,Чахотка; Сифилис,owner_review,Compound historical conditions.,approve,Чахотка; Сифилис,
