illness,record_count,illness_norm_proposed,review_tier,proposal_basis,owner_decision,owner_illness_norm,reviewer_notes
"Водянкой, в богадельщиках",2,Водянка; Богадельщик,owner_review,Compound condition and institutional category.,approve,Водянка; Богадельщик,
Псих,2,Психическое расстройство,owner_review,Interpret abbreviated historical wording.,approve,Психическое расстройство,
Женская болезнь,1,Женская болезнь,owner_review,Historically vague condition; preserve wording.,approve,Женская болезнь,
Застарелый вывих в левом локтевом сочленении,1,Застарелый вывих в левом локтевом сочленении,owner_corrected,Preserve owner-approved historical wording.,correct,Застарелый вывих в левом локтевом сочленении,
Контужен,1,Контужен,owner_corrected,Preserve owner-approved historical wording.,correct,Контужен,
Левая рука не работает,1,Левая рука не работает,owner_corrected,Preserve owner-approved historical wording.,correct,Левая рука не работает,
Немой,1,Немой,owner_corrected,Preserve owner-approved historical wording.,correct,Немой,
Разбита параличом,1,Разбита параличом,owner_corrected,Preserve owner-approved historical wording.,correct,Разбита параличом,
Ревматизм и катар желудка,1,Ревматизм; Катар желудка,owner_review,Compound historical conditions.,approve,Ревматизм; Катар желудка,
Слаб,1,Слабосилен,owner_corrected,Normalize to the owner-approved category.,correct,Слабосилен,
Слабосилен,1,Слабосилен,owner_corrected,Preserve owner-approved historical wording.,correct,Слабосилен,
Слеп и помешан умом,1,Слепота; Психическое расстройство,owner_review,Compound historical wording.,approve,Слепота; Психическое расстройство,
Чахотка и сифилис,1,Чахотка; Сифилис,owner_review,Compound historical conditions.,approve,Чахотка; Сифилис,
