legal_status,record_count,district_count,districts,example_person_id,example_source_position_id,example_name_raw,review_notes
Поселенец,2929,3,Александровский; Корсаковский; Тымовский,P000006,1-01-001-0006,Сергей Григорьев Бачковский,
Ссыльнокаторжный,815,3,Александровский; Корсаковский; Тымовский,P000013,1-01-003-0013,Григорий Иванов Пальков,
Женщина свободного состояния,588,3,Александровский; Корсаковский; Тымовский,P000002,1-01-001-0002,Матрена Осипова Рачкова,
Ссыльнокаторжная,557,3,Александровский; Корсаковский; Тымовский,P000012,1-01-003-0012,Анна Николаева Лопатина,
Поселка,401,3,Александровский; Корсаковский; Тымовский,P000041,1-01-007-0041,Агафья Леонтьева Леонова,
Свободного состояния,250,3,Александровский; Корсаковский; Тымовский,P000011,1-01-003-0011,Петр Иванов Лопатин,
Сын поселенца,250,3,Александровский; Корсаковский; Тымовский,P000061,1-01-010-0061,Петр Фердиков,
Дочь поселенца,236,3,Александровский; Корсаковский; Тымовский,P000009,1-01-002-0009,Михалина Шустова,
Крестьянин из ссыльных,232,3,Александровский; Корсаковский; Тымовский,P000001,1-01-001-0001,Григорий Иванов Рачков,
Сын поселки,131,3,Александровский; Корсаковский; Тымовский,P000174,1-02-005-0079,Александр Лапушин,
Дочь поселки,125,3,Александровский; Корсаковский; Тымовский,P000208,1-02-010-0113,Анна Тиньгаева,
Дочь ссыльнокаторжной,111,3,Александровский; Корсаковский; Тымовский,P000044,1-01-008-0044,Марья Лепра,
Сын ссыльнокаторжного,110,3,Александровский; Корсаковский; Тымовский,P000019,1-01-004-0019,Иван Андреев Дудыкин,
Сын ссыльнокаторжной,95,3,Александровский; Корсаковский; Тымовский,P000196,1-02-007-0101,Сруль Фукс,
Дочь ссыльнокаторжного,94,3,Александровский; Корсаковский; Тымовский,P000020,1-01-004-0020,Александра Андреева Дудыкина,
Дочь крестьянина из ссыльных,71,3,Александровский; Корсаковский; Тымовский,P000181,1-02-006-0086,Вера Тарасова Кузнецова,
Сын крестьянина из ссыльных,70,3,Александровский; Корсаковский; Тымовский,P000035,1-01-006-0035,Николай Григорьев Петровский,
Крестьянка из ссыльных,69,3,Александровский; Корсаковский; Тымовский,P000054,1-01-010-0054,Ада Осипова Замойтис,
Сын крестьянки из ссыльных,29,3,Александровский; Корсаковский; Тымовский,P000152,1-02-002-0057,Михаил Азуманов,
Дочь крестьянки из ссыльных,26,3,Александровский; Корсаковский; Тымовский,P000151,1-02-002-0056,Марианна Азуманова,
,24,3,Александровский; Корсаковский; Тымовский,P000040,1-01-007-0040,Изот Калинов Мелихов,
Сын каторжного,22,2,Александровский; Тымовский,P000080,1-01-013-0080,Александр Фрей,
Поселенец Тымовского округа,18,1,Александровский,P000037,1-01-006-0037,Прокофий Николаев Баранов,
Дочь каторжного,15,2,Александровский; Тымовский,P000572,1-02-088-0477,Мария Андрусенко,
Сын крестьянина,14,1,Александровский,P000003,1-01-001-0003,Антон Григорьев Рачков,
Жена свободного состояния,12,1,Тымовский,P003239,2-21-049-0086,Марина Кузьмина Калашникова,
Запасной рядовой,11,1,Александровский,P000251,1-02-019-0156,Иван Федоров Сидоров,
Крестьянин,10,2,Александровский; Корсаковский,P000063,1-01-011-0063,Василий Григорьев Скородумов,
Сын каторжной,9,2,Александровский; Тымовский,P001092,1-02-224-0997,Иван,
Поселенка,8,1,Александровский,P000171,1-02-004-0076,Татьяна Петрова Тигина,
Дочь крестьянина,6,1,Александровский,P000029,1-01-005-0029,Елена Аркадьева Булгакова,
Отставной рядовой,6,1,Александровский,P000064,1-01-011-0064,Василий 2 Герасимов,
Запасной унтер-офицер,4,1,Александровский,P001175,1-02-237-1080,Лукьян Васильев Моргунов,
Отставной унтер-офицер,4,2,Александровский; Тымовский,P000350,1-02-040-0255,Андрей Ларионов Ганин,
Поселенец-богадельщик,4,2,Александровский; Тымовский,P002090,1-04-123-0397,Павел Иванов Ковальчук,
Дочь каторжной,3,1,Александровский,P001091,1-02-224-0996,Татьяна,
Запасный рядовой,3,1,Тымовский,P002910,2-19-011-0026,Иван Мартынов Озолкин,
Крестьянин свободного состояния,3,2,Александровский; Тымовский,P002401,1-09-040-0040,Иван Осипов Арсенюк,
Крестьянка,3,2,Александровский; Тымовский,P001426,1-02-315-1331,Аграфена Михайловна Пономарева,
Отставной фельдфебель,3,2,Александровский; Корсаковский,P000968,1-02-198-0873,Дмитрий Александров Плотников,
