person_id,page_number,marriage_status,marriage_status_norm_proposed,living_alone_status_proposed,spouse_location_norm_record_proposed,sex,family_status_norm,legal_status_norm,comments
P000817,77,одинок,,Одинок,,Мужской,Хозяин,Поселенец,В Николаевске по билету
P001799,137,одинок,,Одинок,,Мужской,Жилец,Поселенец,452 286 233
P001961,147,одинок,,Одинок,,Мужской,Работник,Поселенец,
P002135,158,одинок,,Одинок,,Мужской,,Поселенец,
P002230,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,1
P002231,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,2
P002232,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,3
P002233,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,4
P002237,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,11
P002242,164,одинок,,Одинок,,Мужской,,Поселенец,18
P002244,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,27
P002245,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,28
P002246,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,29
P002247,164,одинок,,Одинок,,Мужской,Хозяин,Поселенец,30
P002248,165,одинок,,Одинок,,Мужской,Хозяин,Поселенец,31
P002514,182,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002543,183,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002580,185,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002607,187,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002608,187,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002609,187,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002610,187,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P002641,189,одинок,,Одинок,,Мужской,Хозяин,Ссыльнокаторжный,167 124
P002741,195,одинок,,Одинок,,Мужской,Хозяин,Ссыльнокаторжный,
P002754,196,одинок,,Одинок,,Мужской,Хозяин,Ссыльнокаторжный,
P002755,196,одинок,,Одинок,,Мужской,Хозяин,Поселенец,
P000558,61,женат в другом месте,Женат,,Сибирь,Мужской,Жилец,Ссыльнокаторжный,женат в Сибири
P000559,61,женат в другом месте,Женат,,Сибирь,Женский,Жена,Поселка,женат в Сибири
P001384,111,женат в другом месте,Женат,,Амур,Мужской,Жилец,Запасной рядовой,Женат на Амуре
P001392,112,женат в другом месте,Женат,,Кара,Мужской,Хозяин,Ссыльнокаторжный,женат в Усть-Каре
P001393,112,женат в другом месте,Женат,,Кара,Женский,Жена,Поселка,женат в Усть-Каре
P004196,295,женат на Сахалине. вдов,,,На Сахалине,Мужской,Хозяин,Поселенец,175
P004300,301,женат на Сахалине. вдов,,,На Сахалине,Мужской,Хозяин,Поселенец,281
P004691,322,женат на Сахалине. вдов,,,На Сахалине,Мужской,Совладелец,Поселенец,697
P004737,325,женат на Сахалине. вдов,,,На Сахалине,Мужской,Совладелец,Поселенец,748
P004858,331,женат на Сахалине. вдов,,,На Сахалине,Женский,Совладелица,Крестьянка из ссыльных,885; По мужу Генисар
P004675,321,женат на каре,Женат,,Кара,Мужской,Хозяин,Крестьянин из ссыльных,680
P004676,322,женат на каре,Женат,,Кара,Женский,Жена,Ссыльнокаторжная,681
P004703,323,женат на каре,Женат,,Кара,Мужской,Хозяин,Крестьянин из ссыльных,709
P004704,323,женат на каре,Женат,,Кара,Женский,Жена,Крестьянка из ссыльных,710
P004516,313,женат в николаевске,Женат,,Николаевск,Мужской,Хозяин,Ссыльнокаторжный,510
P004517,313,женат в николаевске,Женат,,Николаевск,Женский,Жена,Поселка,511
P004353,304,женат во владивостоке,Женат,,Владивосток,Мужской,Жилец,Свободного состояния,336
P004354,304,женат во владивостоке,Женат,,Владивосток,Женский,Жена,Свободного состояния,337
P004768,326,женат на родине. холост,,,На родине,Мужской,Хозяин,Поселенец,792
P004770,326,женат на родине. холост,,,На родине,Мужской,Хозяин,Поселенец,794
P005758,382,женат на Сахалине. холост,,,На Сахалине,Мужской,Хозяин,Поселенец,185
P000296,45,женат на родине и на Сахалине,,,,Мужской,Хозяин,Крестьянин из ссыльных,Ташкент
P003192,240,женат на родине и на сахалине,,,,Женский,Жена,Поселка,
