marriage_status,record_count,marriage_status_norm_approved,living_alone_status_approved
,2079,,
вдов,575,Вдов,
вдов. одинок,50,Вдов,Одинок
вдов. одинока,9,Вдов,Одинок
девица,1,Холост,
женат в другом месте,5,Женат в другом регионе,
женат в николаевске,2,Женат в другом регионе,
женат во владивостоке,2,Женат в другом регионе,
женат на Сахалине,383,Женат на Сахалине,
женат на Сахалине. вдов,5,Женат на Сахалине; Вдов,
женат на Сахалине. холост,1,Женат на Сахалине,
женат на каре,4,Женат в другом регионе,
женат на родине,2472,Женат на родине,
женат на родине и на Сахалине,1,Женат на родине и на Сахалине,
женат на родине и на сахалине,1,Женат на родине и на Сахалине,
женат на родине. одинок,197,Женат на родине,Одинок
женат на родине. одинока,7,Женат на родине,Одинок
женат на родине. одинокий,3,Женат на родине,Одинок
женат на родине. холост,2,Женат на родине,
одинок,26,,Одинок
холост,1471,Холост,
холост. одинок,147,Холост,Одинок
холост. одинока,3,Холост,Одинок
