person_id,page_number,occupation,occupation_norm_proposed,comments
P006770,449,Бондарь и столяр,Бондарь; Столяр,
P002592,186,Охотник и каюр,Охотник; Каюр,
P007273,476,Охотник и сапожник,Охотник; Сапожник,
P006765,448,Печник и колбасник,Печник; Колбасник,
P000439,53,Печник и плотник,Печник; Плотник,
P001601,125,Печник и сапожник,Печник; Сапожник,
P007230,474,Портной и огородник,Портной; Огородник,
P002541,183,Рыболов и каюр,Рыболов; Каюр,
P006694,445,Сапожник и кожевник,Сапожник; Кожевник,
P000288,44,Старший надзиратель и переплетчик,Старший надзиратель; Переплетчик,
P000765,74,Штукатур и сапожник,Штукатур; Сапожник,В Николаевске по билету
