occupation_group,distinct_value_count,record_count
No occupation recorded,4,6003
General and manual labor,18,343
Agriculture and animal husbandry,9,281
Construction and building trades,12,201
Footwear and leather trades,4,97
"Trade, clerical and communications",15,89
Administration and supervision,10,83
Metalworking and machinery,13,72
Woodworking and manufactured crafts,9,68
Clothing and textile trades,10,61
Dependent / supported by family,3,43
Food production and service,12,27
Transport and animal transport,11,18
"Education, religion and medicine",9,16
Specialized crafts and personal services,12,16
Compound occupations,11,11
Fishing and hunting,5,11
Domestic service,2,4
Non-occupational status / exceptional,1,1
Other / requires classification,1,1
