person_id,page_number,occupation,entry_type,occupation_norm_proposed,age,sex,family_status_norm,comments
P000002,27,,blank,,55,Женский,Жена,
P000003,27,,blank,,17,Мужской,Сын,
P000004,27,,blank,,16,Мужской,Сын,
P000005,27,,blank,,11,Мужской,Сын,
P000008,27,,blank,,57,Женский,Жена,Житомирская
P000009,27,,blank,,11,Женский,Приемная дочь,В г. Хабаровке
P000012,28,,blank,,50,Женский,Мать,
P000019,28,,blank,,2,Мужской,Сын,
P000020,28,,blank,,0,Женский,Дочь,
P000026,28,,blank,,3,Мужской,Внук,
P000027,28,,blank,,0,Женский,Внучка,
P000028,29,,blank,,18,Мужской,Сын,
P000029,29,,blank,,17,Женский,Дочь,
P000032,29,,blank,,2,Мужской,Сын,
P000035,29,,blank,,0,Мужской,Сын,
P000041,29,,blank,,46,Женский,Сожительница,
P000044,29,,blank,,1,Женский,Незаконнорожденная дочь,338
P000051,30,,blank,,2,Женский,Внучка,
P000055,30,,blank,,14,Мужской,Сын,
P000056,30,,blank,,10,Мужской,Сын,
P000057,30,,blank,,8,Женский,Дочь,
P000061,30,,blank,,2,Мужской,Сын,
P000066,31,,blank,,3,Женский,Внучка,
P000067,31,,blank,,52,Мужской,Хозяин,
P000068,31,,blank,,26,Женский,Жена,
P000069,31,,blank,,8,Мужской,Сын,
P000070,31,,blank,,3,Мужской,Сын,
P000071,31,,blank,,11,Женский,Дочь,
P000080,32,,blank,,0,Мужской,Сын,
P000082,32,,blank,,37,Женский,Жена,
P000084,32,,blank,,42,Женский,Жилица,
P000089,32,,blank,,,Мужской,Жилец,В Николаевске
P000090,32,,blank,,,Женский,Жена,В Николаевске
P000093,32,,blank,,1,Мужской,Сын,
P000094,33,,blank,,0,Женский,Дочь,
P000099,33,,blank,,28,Женский,Сожительница,
P000102,33,,blank,,36,Мужской,Жилец,
P000103,33,,blank,,16,Женский,Сожительница,
P000105,33,,blank,,26,Женский,Сожительница,
P000106,33,,blank,,30,Мужской,Хозяин,
P000108,34,,blank,,30,Женский,Жена,
P000109,34,,blank,,0,Мужской,Сын,
P000112,34,,blank,,34,Мужской,,У Мелевича
P000113,34,,blank,,71,Мужской,Прислуга,Надецк
P000114,34,,blank,,54,Мужской,Прислуга,
P000115,34,,blank,,48,Мужской,Прислуга,Надецк
P000116,34,,blank,,29,Мужской,Прислуга,
P000117,34,,blank,,24,Женский,Прислуга,Дом Мыльникова
P000118,34,,blank,,21,Женский,Прислуга,
P000120,34,,blank,,58,Мужской,Сторож,
P000121,34,,blank,,27,Мужской,Прислуга,
P000122,35,,blank,,22,Мужской,Прислуга,
P000123,35,,blank,,25,Женский,Прислуга,
P000127,35,,blank,,75,Мужской,Хозяин,
P000130,35,,blank,,37,Женский,Жена,пришла за мужем
P000137,36,,blank,,34,Мужской,,
P000139,36,,blank,,35,Мужской,,
P000141,36,,blank,,30,Мужской,,
P000142,36,,blank,,27,Мужской,,
P000143,36,,blank,,46,Мужской,,
P000145,36,,blank,,42,Мужской,Хозяин,
P000147,36,,blank,,2,Мужской,Сын,
P000150,36,,blank,,40,Женский,Сожительница,
P000151,36,,blank,,15,Женский,Незаконнорожденная дочь,212
P000152,37,,blank,,9,Мужской,Незаконнорожденный сын,211
P000153,37,,blank,,6,Мужской,Незаконнорожденный сын,210
P000154,37,,blank,,35,Мужской,Работник,
P000156,37,,blank,,41,Женский,Жена,
P000157,37,,blank,,15,Мужской,Сын,
P000158,37,,blank,,10,Мужской,Сын,
P000159,37,,blank,,7,Мужской,Сын,
P000160,37,,blank,,5,Мужской,Сын,
P000161,37,,blank,,2,Мужской,Сын,
P000162,37,,blank,,64,Мужской,Работник,
P000163,37,,blank,,58,Мужской,Работник,
P000164,37,,blank,,56,Мужской,Работник,
P000165,37,,blank,,38,Мужской,Работник,
P000166,37,,blank,,55,Мужской,Хозяин,
P000167,37,,blank,,20,Женский,Сожительница,Ташкент
P000168,37,,blank,,83,Мужской,Жилец,
P000170,38,,blank,,26,Женский,Сожительница,
P000171,38,,blank,,46,Женский,Жилица,
P000173,38,,blank,,30,Женский,Сожительница,
P000174,38,,blank,,4,Мужской,Сын,209
P000175,38,,blank,,2,Мужской,Незаконнорожденный сын,208
P000176,38,,blank,,0,Мужской,Незаконнорожденный сын,201
P000177,38,,blank,,58,Женский,Работница,
