occupation,record_count,occupation_group,entry_type,occupation_norm_proposed,review_required,review_reason,representative_person_ids,representative_page_numbers,owner_decision,owner_note
,5972,No occupation recorded,blank,,No,Blank source value; do not infer an occupation,P000002; P000003; P000004; P000005; P000008,27; 28; 29; 30; 31,,
Земледелие,245,Agriculture and animal husbandry,single_occupation,Земледелие,No,Single occupation value; retain pending vocabulary review,P000190; P000219; P000254; P001434; P001442,39; 40; 42; 115; 116,,
Чернорабочий,200,General and manual labor,single_occupation,Чернорабочий,No,Single occupation value; retain pending vocabulary review,P000013; P000016; P000017; P000021; P000043,28; 29; 30; 31; 32,,
Плотник,127,Construction and building trades,single_occupation,Плотник,No,Single occupation value; retain pending vocabulary review,P000376; P000405; P000429; P000431; P000437,50; 51; 53; 54; 55,,
Сапожник,86,Footwear and leather trades,single_occupation,Сапожник,No,Single occupation value; retain pending vocabulary review,P000042; P000045; P000342; P000393; P000411,29; 30; 48; 51; 52,,
Писарь,52,"Trade, clerical and communications",single_occupation,Писарь,No,Single occupation value; retain pending vocabulary review,P000197; P000230; P000286; P000287; P000372,39; 41; 44; 49; 50,,
Чернорабочая,49,General and manual labor,single_occupation,Чернорабочая,No,Single occupation value; retain pending vocabulary review,P000222; P000334; P000337; P000608; P000610,40; 47; 64; 65; 66,,
Пильщик,48,Woodworking and manufactured crafts,single_occupation,Пильщик,No,Single occupation value; retain pending vocabulary review,P000392; P000527; P000588; P002017; P002286,50; 59; 62; 150; 167,,
Портной,46,Clothing and textile trades,single_occupation,Портной,No,Single occupation value; retain pending vocabulary review,P000248; P000250; P000293; P000362; P000548,42; 45; 49; 60; 63,,
При муже,39,Dependent / supported by family,dependent_status,При муже,Yes,Support/dependency statement rather than a trade,P000018; P000023; P000025; P000031; P000034,28; 29; 30; 31; 32,,
Столяр,34,Construction and building trades,single_occupation,Столяр,No,Single occupation value; retain pending vocabulary review,P000336; P000347; P000381; P000503; P000565,47; 48; 50; 57; 61,,
Рабочий,32,General and manual labor,single_occupation,Рабочий,No,Single occupation value; retain pending vocabulary review,P000100; P000221; P000991; P001409; P001602,33; 40; 87; 113; 125,,
