occupation,record_count,occupation_group,entry_type,occupation_norm_proposed,review_required,review_reason,representative_person_ids,representative_page_numbers,owner_decision,owner_note
При муже,39,Dependent / supported by family,dependent_status,При муже,Yes,Support/dependency statement rather than a trade,P000018; P000023; P000025; P000031; P000034,28; 29; 30; 31; 32,,
Никакого,29,No occupation recorded,explicit_no_occupation,Нет занятия,Yes,Explicitly states no occupation; approve shared analytical category,P000097; P000568; P000644; P000647; P000652,33; 61; 66; 67; 68,,
На мельнице,3,Food production and service,descriptive_or_qualified,На мельнице,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P000403; P000504; P000507,51; 57,,
Делает папиросы,2,Specialized crafts and personal services,descriptive_or_qualified,Делает папиросы,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P001321; P001322,107,,
Каюр: 15 нартовых собак,2,Transport and animal transport,descriptive_or_qualified,Каюр: 15 нартовых собак,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002509; P002511,182,,
Каюр: 3 нартовые собаки,2,Transport and animal transport,descriptive_or_qualified,Каюр: 3 нартовые собаки,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002517; P002519,182,,
Носит сено,2,Agriculture and animal husbandry,descriptive_or_qualified,Носит сено,Yes,Narrative or qualified occupation; review the analytical trade and preserve detail,P002451; P002457,179,,
При матери,2,Dependent / supported by family,dependent_status,При матери,Yes,Support/dependency statement rather than a trade,P000014; P000015,28,,
При отце,2,Dependent / supported by family,dependent_status,При отце,Yes,Support/dependency statement rather than a trade,P000049; P000060,30,,
Рыбак,2,Fishing and hunting,case_spelling_or_synonym,Рыболов,Yes,"Case, spelling, or close synonym proposed for consolidation",P002364; P007057,173; 464,,
Рыбалка,2,Fishing and hunting,case_spelling_or_synonym,Рыболов,Yes,"Case, spelling, or close synonym proposed for consolidation",P003237; P003248,243; 244,,
дровотаск,2,General and manual labor,case_spelling_or_synonym,Дровотаск,Yes,"Case, spelling, or close synonym proposed for consolidation",P002627; P002811,188; 199,,
каменный уголь,2,General and manual labor,case_spelling_or_synonym,Каменный уголь,Yes,"Case, spelling, or close synonym proposed for consolidation",P002650; P002833,189; 200,,
кузнец,2,Metalworking and machinery,case_spelling_or_synonym,Кузнец,Yes,"Case, spelling, or close synonym proposed for consolidation",P001003; P001258,88; 103,,
писарь,2,"Trade, clerical and communications",case_spelling_or_synonym,Писарь,Yes,"Case, spelling, or close synonym proposed for consolidation",P002257; P006285,165; 421,,
сапожник,2,Footwear and leather trades,case_spelling_or_synonym,Сапожник,Yes,"Case, spelling, or close synonym proposed for consolidation",P001019; P001193,89; 99,,
