occupation,record_count,occupation_group,occupation_norm_approved,owner_decision_explicit,owner_note,comment_addition
15 старший надзиратель,1,Administration and supervision,Старший надзиратель,Yes,,
Банщик,1,Food production and service,Банщик,No — proposal confirmed,,
Баня,1,Food production and service,Баня,No — proposal confirmed,,
Богадельщик,1,Non-occupational status / exceptional,Богадельщик,No — proposal confirmed,,
Бондарь,12,Woodworking and manufactured crafts,Бондарь,No — proposal confirmed,,
Бондарь и столяр,1,Compound occupations,Бондарь; Столяр,No — proposal confirmed,,
Булочник,5,Food production and service,Булочник,No — proposal confirmed,,
Был плотником,1,Construction and building trades,Плотник,Yes,Move full text in `comments`,Был плотником
в работниках,1,General and manual labor,Работник,Yes,,
Варит квас булочник,1,Food production and service,Булочник; Варит квас,Yes,,
Ветеринарный фельдшер,1,"Education, religion and medicine",Ветеринарный фельдшер,No — proposal confirmed,,
Возит хлеб на дорогу для команды,1,Transport and animal transport,Возит хлеб,Yes,Move full text in `comments`,Возит хлеб на дорогу для команды
Гончар,2,Specialized crafts and personal services,Гончар,No — proposal confirmed,,
Горшечник,1,Specialized crafts and personal services,Горшечник,Yes,keep initial wording,
Гравер,2,Specialized crafts and personal services,Гравер,No — proposal confirmed,,
Гребенщик,1,Woodworking and manufactured crafts,Гребенщик,No — proposal confirmed,,
Дегтярь,2,Specialized crafts and personal services,Дегтярь,No — proposal confirmed,,
Гонит деготь,1,Other / requires classification,Дегтярь,No — proposal confirmed,,
Делает папиросы,2,Specialized crafts and personal services,Делает папиросы,No — proposal confirmed,,
Дровотаск,13,General and manual labor,Дровотаск,No — proposal confirmed,,
дровотаск,2,General and manual labor,Дровотаск,No — proposal confirmed,,
Дровонос,1,General and manual labor,Дровотаск,No — proposal confirmed,,
Заведующий станцией,1,Administration and supervision,Заведующий станцией,No — proposal confirmed,,
Закройщик,1,Clothing and textile trades,Закройщик,No — proposal confirmed,,
Земледелие,245,Agriculture and animal husbandry,Земледелие,No — proposal confirmed,,
Землемер,2,"Trade, clerical and communications",Землемер,No — proposal confirmed,,
Золотых дел мастер,1,Specialized crafts and personal services,Золотых дел мастер,No — proposal confirmed,,
золотых дел мастер,1,Specialized crafts and personal services,Золотых дел мастер,No — proposal confirmed,,
Инкрустационное,1,Woodworking and manufactured crafts,Инкрустационное,No — proposal confirmed,,
Каменный уголь,14,General and manual labor,Каменный уголь,No — proposal confirmed,,
каменный уголь,2,General and manual labor,Каменный уголь,No — proposal confirmed,,
Каменщик,3,Construction and building trades,Каменщик,No — proposal confirmed,,
каменщик,1,Construction and building trades,Каменщик,No — proposal confirmed,,
Катерный,1,Transport and animal transport,Катерный,No — proposal confirmed,,
Катерный машинист,1,Metalworking and machinery,Катерный машинист,No — proposal confirmed,,
Каюр,4,Transport and animal transport,Каюр,No — proposal confirmed,,
Каюр: 15 нартовых собак,2,Transport and animal transport,Каюр,Yes,Move full text in `comments` Каюр; 15 нартовых собак,Каюр; 15 нартовых собак
Каюр: 2 нартовые собаки,1,Transport and animal transport,Каюр,Yes,Move full text in `comments` Каюр; 2 нартовые собаки,Каюр; 2 нартовые собаки
Каюр: 3 нартовые собаки,2,Transport and animal transport,Каюр,Yes,Move full text in `comments` Каюр; 3 нартовые собаки,Каюр; 3 нартовые собаки
Кирпичник,1,Construction and building trades,Кирпичник,No — proposal confirmed,,
Кожевник,4,Footwear and leather trades,Кожевник,No — proposal confirmed,,
Колбасник,1,Food production and service,Колбасник,No — proposal confirmed,,
Колесник,2,Woodworking and manufactured crafts,Колесник,No — proposal confirmed,,
Кондитер,1,Food production and service,Кондитер,No — proposal confirmed,,
Коновал,1,Agriculture and animal husbandry,Коновал,No — proposal confirmed,,
Конторщик,1,"Trade, clerical and communications",Конторщик,No — proposal confirmed,,
Конюх,2,Transport and animal transport,Конюх,No — proposal confirmed,,
Котельщик,1,Metalworking and machinery,Котельщик,No — proposal confirmed,,
Красильщик,1,Clothing and textile trades,Красильщик,No — proposal confirmed,,
Кровельщик,1,Construction and building trades,Кровельщик,No — proposal confirmed,,
Кузнец,25,Metalworking and machinery,Кузнец,No — proposal confirmed,,
кузнец,2,Metalworking and machinery,Кузнец,No — proposal confirmed,,
Кухарка,1,Food production and service,Кухарка,No — proposal confirmed,,
Кучер,2,Transport and animal transport,Кучер,No — proposal confirmed,,
Литейщик,1,Metalworking and machinery,Литейщик,No — proposal confirmed,,
Ловит шримсов,1,Fishing and hunting,Ловит шримсов,No — proposal confirmed,,
Ложечник,1,Woodworking and manufactured crafts,Ложечник,No — proposal confirmed,,
Маляр,6,Construction and building trades,Маляр,No — proposal confirmed,,
Машинист,1,Metalworking and machinery,Машинист,No — proposal confirmed,,
Медник,2,Metalworking and machinery,Медник,No — proposal confirmed,,
Мельник,3,Food production and service,Мельник,No — proposal confirmed,,
Механик,4,Metalworking and machinery,Механик,No — proposal confirmed,,
Младший надзиратель,11,Administration and supervision,Младший надзиратель,No — proposal confirmed,,
Моет полы,1,General and manual labor,Моет полы,No — proposal confirmed,,
моет полы на кордоне,1,General and manual labor,Моет полы,Yes,Move full text in `comments`,моет полы на кордоне
Мулла,2,"Education, religion and medicine",Мулла,No — proposal confirmed,,
Мясник,1,Food production and service,Мясник,No — proposal confirmed,,
На катере,1,Transport and animal transport,На катере,No — proposal confirmed,,
На мельнице,3,Food production and service,На мельнице,No — proposal confirmed,,
Наборщик,2,"Trade, clerical and communications",Наборщик,No — proposal confirmed,,
Надзиратель,22,Administration and supervision,Надзиратель,No — proposal confirmed,,
Никакого,29,No occupation recorded,Нет занятия,No — proposal confirmed,,
Ничего,1,No occupation recorded,Нет занятия,No — proposal confirmed,,
Ничем,1,No occupation recorded,Нет занятия,No — proposal confirmed,,
Носит сено,2,Agriculture and animal husbandry,Носит сено,No — proposal confirmed,,
носит сено,1,Agriculture and animal husbandry,Носит сено,No — proposal confirmed,,
Обойщик,1,Construction and building trades,Обойщик,No — proposal confirmed,,
Огородник,1,Agriculture and animal husbandry,Огородник,No — proposal confirmed,,
Охотник,5,Fishing and hunting,Охотник,No — proposal confirmed,,
Охотник и каюр,1,Compound occupations,Охотник; Каюр,No — proposal confirmed,,
Охотник и сапожник,1,Compound occupations,Охотник; Сапожник,No — proposal confirmed,,
Папиросник,1,Specialized crafts and personal services,Папиросник,No — proposal confirmed,,
Парикмахер,1,Specialized crafts and personal services,Парикмахер,No — proposal confirmed,,
Пастух,21,Agriculture and animal husbandry,Пастух,No — proposal confirmed,,
Певчий,1,"Education, religion and medicine",Певчий,No — proposal confirmed,,
Певчий регент,1,"Education, religion and medicine",Певчий регент,No — proposal confirmed,,
Перевозчик,1,Transport and animal transport,Перевозчик,No — proposal confirmed,,
Переплетчик,2,"Trade, clerical and communications",Переплетчик,No — proposal confirmed,,
Печатник,1,"Trade, clerical and communications",Печатник,No — proposal confirmed,,
Печатник типографии,1,"Trade, clerical and communications",Печатник,Yes,,
Печник,22,Construction and building trades,Печник,No — proposal confirmed,,
Печник и колбасник,1,Compound occupations,Печник; Колбасник,No — proposal confirmed,,
Печник и плотник,1,Compound occupations,Печник; Плотник,No — proposal confirmed,,
Печник и сапожник,1,Compound occupations,Печник; Сапожник,No — proposal confirmed,,
Пильщик,48,Woodworking and manufactured crafts,Пильщик,No — proposal confirmed,,
писарь,2,"Trade, clerical and communications",Писарь,No — proposal confirmed,,
Писарь,52,"Trade, clerical and communications",Писарь,No — proposal confirmed,,
Плотник,127,Construction and building trades,Плотник,No — proposal confirmed,,
Повар,2,Food production and service,Повар,No — proposal confirmed,,
Подмастерье у золотых дел мастера,1,Specialized crafts and personal services,Подмастерье у золотых дел мастера,No — proposal confirmed,,
Портниха,1,Clothing and textile trades,Портниха,No — proposal confirmed,,
Портной,46,Clothing and textile trades,Портной,No — proposal confirmed,,
портной,1,Clothing and textile trades,Портной,No — proposal confirmed,,
Портной и огородник,1,Compound occupations,Портной; Огородник,No — proposal confirmed,,
Прачка,7,Clothing and textile trades,Прачка,No — proposal confirmed,,
При матери,2,Dependent / supported by family,При матери,No — proposal confirmed,,
При муже,39,Dependent / supported by family,При муже,No — proposal confirmed,,
При отце,2,Dependent / supported by family,При отце,No — proposal confirmed,,
Приказчик,1,"Trade, clerical and communications",Приказчик,No — proposal confirmed,,
Приказчик в колонизационном фонде,1,"Trade, clerical and communications",Приказчик,Yes,Move full text in `comments`,Приказчик в колонизационном фонде
Прислугой,1,Domestic service,Прислуга,Yes,,
Псаломщик,1,"Education, religion and medicine",Псаломщик,No — proposal confirmed,,
Работает на покосе,1,Agriculture and animal husbandry,Работает на покосе,No — proposal confirmed,,
Работник,14,General and manual labor,Работник,No — proposal confirmed,,
Работница,1,General and manual labor,Работница,No — proposal confirmed,,
Рабочая,7,General and manual labor,Рабочая,No — proposal confirmed,,
рабочая,1,General and manual labor,Рабочая,No — proposal confirmed,,
Рабочий,32,General and manual labor,Рабочий,No — proposal confirmed,,
Рабочий в смольной яме,1,General and manual labor,Рабочий,Yes,Move full text in `comments`,Рабочий в смольной яме
Рассыльный,5,"Trade, clerical and communications",Рассыльный,No — proposal confirmed,,
Раcсыльный,1,"Trade, clerical and communications",Рассыльный,No — proposal confirmed,,
Рыбак,2,Fishing and hunting,Рыбак,Yes,,
Рыбалка,2,Fishing and hunting,Рыбак,Yes,,
Рыболов,1,Fishing and hunting,Рыбак,Yes,,
Рыболов и каюр,1,Compound occupations,Рыбак; Каюр,Yes,,
Садовник,1,Agriculture and animal husbandry,Садовник,No — proposal confirmed,,
сапожник,2,Footwear and leather trades,Сапожник,No — proposal confirmed,,
Сапожник,86,Footwear and leather trades,Сапожник,No — proposal confirmed,,
Сапожник и кожевник,1,Compound occupations,Сапожник; Кожевник,No — proposal confirmed,,
Скульптор,1,Woodworking and manufactured crafts,Скульптор,No — proposal confirmed,,
Слесарь,28,Metalworking and machinery,Слесарь,No — proposal confirmed,,
слесарь,1,Metalworking and machinery,Слесарь,No — proposal confirmed,,
Служанка,3,Domestic service,Служанка,No — proposal confirmed,,
Смазчик,1,Metalworking and machinery,Смазчик,No — proposal confirmed,,
Смотритель тюрьмы,1,Administration and supervision,Смотритель тюрьмы,No — proposal confirmed,,
Старший надзиратель,23,Administration and supervision,Старший надзиратель,No — proposal confirmed,,
старший надзиратель,1,Administration and supervision,Старший надзиратель,No — proposal confirmed,,
Старший надзиратель на катере,1,Transport and animal transport,Старший надзиратель,Yes,Move full text in `comments`,Старший надзиратель на катере
Старший надзиратель и переплетчик,1,Compound occupations,Старший надзиратель; Переплетчик,No — proposal confirmed,,
стекольщик,1,Construction and building trades,Стекольщик,No — proposal confirmed,,
Столяр,34,Construction and building trades,Столяр,No — proposal confirmed,,
Сторож,21,Administration and supervision,Сторож,No — proposal confirmed,,
Сторож в казенном доме,1,Administration and supervision,Сторож,Yes,Move full text in `comments`,Сторож в казенном доме
Телеграфист,3,"Trade, clerical and communications",Телеграфист,No — proposal confirmed,,
Тележник,1,Woodworking and manufactured crafts,Тележник,No — proposal confirmed,,
Ткач суконный,1,Clothing and textile trades,Ткач суконный,No — proposal confirmed,,
Токарь,4,Metalworking and machinery,Токарь,No — proposal confirmed,,
Торговец,1,"Trade, clerical and communications",Торговля,Yes,,
Торговля,14,"Trade, clerical and communications",Торговля,No — proposal confirmed,,
Учитель,4,"Education, religion and medicine",Учитель,No — proposal confirmed,,
Учительница,1,"Education, religion and medicine",Учительница,No — proposal confirmed,,
Фельдегерь,1,Administration and supervision,Фельдегерь,No — proposal confirmed,,
Фельдшер,4,"Education, religion and medicine",Фельдшер,No — proposal confirmed,,
Фельдшерица,1,"Education, religion and medicine",Фельдшерица,No — proposal confirmed,,
Хлебопашец,8,Agriculture and animal husbandry,Хлебопашец,No — proposal confirmed,,
Хлебопек,7,Food production and service,Хлебопек,No — proposal confirmed,,
Цирюльник,1,Specialized crafts and personal services,Цирюльник,No — proposal confirmed,,
Часовых дел мастер,1,Specialized crafts and personal services,Часовых дел мастер,No — proposal confirmed,,
Чернорабочая,49,General and manual labor,Чернорабочая,No — proposal confirmed,,
