person_id,page_number,origin_place,classification,origin_place_norm_proposed,age,sex,legal_status_norm,family_status_norm,comments
P000004,27,На Сахалине,exceptional_non_administrative,На Сахалине,16,Мужской,Сын крестьянина из ссыльных,Сын,
P000005,27,На Сахалине,exceptional_non_administrative,На Сахалине,11,Мужской,Сын крестьянина из ссыльных,Сын,
P000019,28,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын ссыльнокаторжного,Сын,
P000020,28,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь ссыльнокаторжного,Дочь,
P000026,28,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Свободного состояния,Внук,
P000027,28,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Свободного состояния,Внучка,
P000028,29,На Сахалине,exceptional_non_administrative,На Сахалине,18,Мужской,Сын крестьянина из ссыльных,Сын,
P000029,29,На Сахалине,exceptional_non_administrative,На Сахалине,17,Женский,Дочь крестьянина из ссыльных,Дочь,
P000032,29,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын крестьянина из ссыльных,Сын,
P000035,29,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын крестьянина из ссыльных,Сын,
P000044,29,На Сахалине,exceptional_non_administrative,На Сахалине,1,Женский,Дочь ссыльнокаторжной,Незаконнорожденная дочь,338
P000049,30,На Сахалине,exceptional_non_administrative,На Сахалине,21,Мужской,Сын крестьянина из ссыльных,Сын,
P000051,30,На Сахалине,exceptional_non_administrative,На Сахалине,2,Женский,Свободного состояния,Внучка,
P000055,30,На Сахалине,exceptional_non_administrative,На Сахалине,14,Мужской,Сын крестьянина из ссыльных,Сын,
P000056,30,На Сахалине,exceptional_non_administrative,На Сахалине,10,Мужской,Сын крестьянина из ссыльных,Сын,
P000061,30,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселенца,Сын,
P000065,31,На Сахалине,exceptional_non_administrative,На Сахалине,21,Женский,Свободного состояния,Дочь,
P000066,31,На Сахалине,exceptional_non_administrative,На Сахалине,3,Женский,Дочь отставного рядового,Внучка,
P000070,31,На Сахалине,exceptional_non_administrative,На Сахалине,3,Мужской,Сын надворного советника,Сын,
P000071,31,На Сахалине,exceptional_non_administrative,На Сахалине,11,Женский,Дочь надворного советника,Дочь,
P000080,32,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын каторжного,Сын,
P000093,32,На Сахалине,exceptional_non_administrative,На Сахалине,1,Мужской,Сын поселенца,Сын,
P000094,33,На Сахалине,exceptional_non_administrative,На Сахалине,0,Женский,Дочь поселенца,Дочь,
P000109,34,На Сахалине,exceptional_non_administrative,На Сахалине,0,Мужской,Сын ссыльнокаторжного,Сын,
P000147,36,На Сахалине,exceptional_non_administrative,На Сахалине,2,Мужской,Сын поселенца,Сын,
P000152,37,На Сахалине,exceptional_non_administrative,На Сахалине,9,Мужской,Сын крестьянки из ссыльных,Незаконнорожденный сын,211
