origin_place,record_count,classification,origin_place_norm_approved,owner_note
На Сахалине,1248,exceptional_non_administrative,На Сахалине,
,838,blank,,
Тамбовская губерния,214,russian_administrative,Тамбовская губерния,
Самарская губерния,186,russian_administrative,Самарская губерния,
Киевская губерния,179,russian_administrative,Киевская губерния,
Полтавская губерния,170,russian_administrative,Полтавская губерния,
Черниговская губерния,162,russian_administrative,Черниговская губерния,
Воронежская губерния,160,russian_administrative,Воронежская губерния,
Область Войска Донского,150,russian_administrative,Область Войска Донского,
Саратовская губерния,138,russian_administrative,Саратовская губерния,
Нижегородская губерния,129,russian_administrative,Нижегородская губерния,
Пермская губерния,129,russian_administrative,Пермская губерния,
Московская губерния,126,russian_administrative,Московская губерния,
Херсонская губерния,124,russian_administrative,Херсонская губерния,
Курская губерния,123,russian_administrative,Курская губерния,
Тверская губерния,120,russian_administrative,Тверская губерния,
Пензенская губерния,111,russian_administrative,Пензенская губерния,
Новгородская губерния,107,russian_administrative,Новгородская губерния,
Харьковская губерния,104,russian_administrative,Харьковская губерния,
Екатеринославская губерния,103,russian_administrative,Екатеринославская губерния,
Орловская губерния,97,russian_administrative,Орловская губерния,
Рязанская губерния,93,russian_administrative,Рязанская губерния,
Владимирская губерния,83,russian_administrative,Владимирская губерния,
Подольская губерния,83,russian_administrative,Подольская губерния,
Смоленская губерния,80,russian_administrative,Смоленская губерния,
Псковская губерния,79,russian_administrative,Псковская губерния,
Бессарабская губерния,78,russian_administrative,Бессарабская губерния,
Вологодская губерния,78,russian_administrative,Вологодская губерния,
Вятская губерния,78,russian_administrative,Вятская губерния,
Костромская губерния,78,russian_administrative,Костромская губерния,
По пути,75,transit,В пути,
Лифляндская губерния,74,russian_administrative,Лифляндская губерния,
Виленская губерния,73,russian_administrative,Виленская губерния,
Витебская губерния,73,russian_administrative,Витебская губерния,
Томская губерния,71,russian_administrative,Томская губерния,
Ярославская губерния,71,russian_administrative,Ярославская губерния,
Тульская губерния,70,russian_administrative,Тульская губерния,
Казанская губерния,67,russian_administrative,Казанская губерния,
Ковенская губерния,65,russian_administrative,Ковенская губерния,
Симбирская губерния,65,russian_administrative,Симбирская губерния,
Калужская губерния,64,russian_administrative,Калужская губерния,
Варшавская губерния,63,russian_administrative,Варшавская губерния,
Кубанская область,56,russian_administrative,Кубанская область,
Волынская губерния,55,russian_administrative,Волынская губерния,
Оренбургская губерния,49,russian_administrative,Оренбургская губерния,
Ставропольская губерния,49,russian_administrative,Ставропольская губерния,
