source_household_number,record_count,household_type
Казарма,41,Казарма
Тюрьма,10,Тюрьма
29. Метеорологическая станция,9,Метеорологическая станция
Школа,9,Школа
Казарма Е,7,Казарма
Баня,6,Баня
Телеграф,6,Телеграф
Дом Берденкова и Малова,5,Дом
Казарма И,5,Казарма
292-293,4,Другое
80-81,4,Другое
Дом Пономарева,4,Дом
Дом Протопопова и Пастухова,4,Дом
Дом Урусова,4,Дом
Казарма Д 1,4,Казарма
Дом Липкиной,3,Дом
Кабельный дом,3,Кабельный дом
Казарма J 1,3,Казарма
Казарма А,3,Казарма
Казарма Б 2,3,Казарма
Казарма Б 3,3,Казарма
Казарма В 1,3,Казарма
Казарма Г 2,3,Казарма
Казарма Д 3,3,Казарма
Казарма Д 6,3,Казарма
Казарма Ж 1,3,Казарма
Катерная мастерская,3,Мастерская
Старый лазарет,3,Лазарет
Федора Фоминых,3,Другое
1 5,2,Другое
20 3,2,Другое
22 4,2,Другое
29 7,2,Другое
42 квартира № 2,2,Другое
59. Участок № 2,2,Другое
60. Квартира № 1,2,Другое
60. Квартира № 2,2,Другое
Дом Безмокова,2,Дом
Дом бывшей солеварни,2,Дом
Казарма Б 1,2,Казарма
Казарма Б 4,2,Казарма
Казарма Б 5,2,Казарма
Казарма В,2,Казарма
Казарма В 3,2,Казарма
Казарма В 4,2,Казарма
Казарма В 5,2,Казарма
Казарма В 6,2,Казарма
Казарма В 8,2,Казарма
Казарма Г 1,2,Казарма
Казарма Г 3,2,Казарма
Казарма Д 2,2,Казарма
Казарма Д 4,2,Казарма
Казарма Д 5,2,Казарма
Казарма З 1,2,Казарма
Казарма З 2,2,Казарма
Казарма священника,2,Казарма
У перевоза через р. Александровку,2,У перевоза
(Под квартирой) 88,1,Другое
138 (хозяин уехал),1,Другое
15 (И. С. Карауловского),1,Другое
155 (под квартирой),1,Другое
17 (под квартирой),1,Другое
19 (под квартирой),1,Другое
19 (хозяин уехал на материк),1,Другое
20 7,1,Другое
212 (половина дома № 212),1,Другое
22 (хозяин уехал на материк),1,Другое
26 4,1,Другое
29. Метеорологическаястанция,1,Метеорологическая станция
292 и 293,1,Другое
308 (под квартирой),1,Другое
312 (под квартирой),1,Другое
35 (под квартирой),1,Другое
352 участков,1,Другое
38 участка,1,Другое
40 (под квартирой),1,Другое
42 (под квартирой) квартира № 1,1,Другое
42 квартира № 12,1,Другое
60. Квартира № 1. Отдан квартирантам,1,Другое
99 (под квартирой),1,Другое
Дом Ильина,1,Дом
Дом Пономарева 3-я Касьян,1,Дом
Каз. Инт,1,Казарма
Казарма (смотрителя поселений),1,Казарма
Казарма Б,1,Казарма
Казарма В 10,1,Казарма
Казарма В 2,1,Казарма
Казарма В 7,1,Казарма
Казарма В 9,1,Казарма
Казарма Г,1,Казарма
Казарма Дом,1,Казарма
Казарма Ж 2,1,Казарма
Казарма1,1,Казарма
Казарма6,1,Казарма
Казарма8,1,Казарма
Кирпичный завод,1,Кирпичный завод
Коллежский регистратор 2305,1,Другое
Мечеть,1,Мечеть
Смольная яма,1,Смольная яма
Собственный дом,1,Собственный дом
Столярная мастерская,1,Мастерская
Федора Фоминых (под квартирой),1,Другое
Федора Шелудченко,1,Другое
Штольня,1,Штольня
дом Кестлера,1,Дом
тюрьма,1,Тюрьма
