source_field,english_field,russian_value,record_count,english_value,owner_decision
"district","district","Тымовский","3242","Tymovsky District","Approve"
"district","district","Александровский","2884","Alexandrovsky District","Approve"
"district","district","Корсаковский","1320","Korsakovsky District","Approve"
"household_type","household_type","Частное","7200","Private household","Approve"
"household_type","household_type","Казарма","131","Barracks","Approve"
"household_type","household_type","Дом","31","House","Approve"
"household_type","household_type","Другое","11","Other","Approve"
"household_type","household_type","Тюрьма","11","Prison","Approve"
"household_type","household_type","Метеорологическая станция","10","Meteorological station","Approve"
"household_type","household_type","Школа","9","School","Approve"
"household_type","household_type","Баня","6","Bathhouse","Approve"
"household_type","household_type","Телеграф","6","Telegraph office","Approve"
"household_type","household_type","Мастерская","4","Workshop","Approve"
"household_type","household_type","Лазарет","3","Infirmary","Approve"
"sex","sex","Мужской","4921","Male","Approve"
"sex","sex","Женский","2525","Female","Approve"
"religion","religion","Православное","6158","Eastern Orthodox","Approve"
"religion","religion","Католическое","490","Roman Catholic","Approve"
"religion","religion","Магометанское","197","Muslim","Approve"
"religion","religion","Лютеранское","183","Lutheran","Approve"
"religion","religion","Иудейское","84","Jewish","Approve"
"religion","religion","Раскольничество","44","Schismatic","Revise"
"religion","religion","Армяно-григорианское","25","Armenian Apostolic","Approve"
"religion","religion","Старообрядчество","11","Old Believer","Approve"
"religion","religion","Молоканское","4","Molokan","Approve"
"literacy","literacy","Неграмотен","3735","Illiterate","Approve"
"literacy","literacy","Грамотен","1659","Literate","Approve"
"literacy","literacy","Образован","24","Educated","Approve"
"marriage_status_norm","marital_status","Женат на родине","2681","Married in homeland","Approve"
"marriage_status_norm","marital_status","Холост","1622","Single","Approve"
"marriage_status_norm","marital_status","Вдов","634","Widowed","Approve"
"marriage_status_norm","marital_status","Женат на Сахалине","384","Married on Sakhalin","Approve"
"marriage_status_norm","marital_status","Женат в другом регионе","13","Married in another region","Approve"
"marriage_status_norm","marital_status","Женат на Сахалине; Вдов","5","Married on Sakhalin; Widowed","Approve"
"marriage_status_norm","marital_status","Женат на родине и на Сахалине","2","Married in homeland and on Sakhalin","Approve"
"living_alone_status","living_alone_status","Одинок","442","Living alone","Approve"
"allowance_status","allowance_status","FALSE","4328","FALSE","Approve"
"allowance_status","allowance_status","TRUE","2550","TRUE","Approve"
