russian_value,record_count,english_value,owner_decision,owner_notes
"Поселенец","2954","Exile settler","Approve B",""
"Свободного состояния","862","Free-status person","Approve A",""
"Ссыльнокаторжный","812","Penal convict","Revise",""
"Ссыльнокаторжная","560","Penal convict","Revise",""
"Поселка","412","Exile settler","Revise",""
"Сын поселенца","250","Child of exile settler","Revise",""
"Дочь поселенца","238","Child of exile settler","Revise",""
"Крестьянин из ссыльных","232","Exile peasant","Revise",""
"Сын поселки","134","Child of exile settler","Revise",""
"Дочь поселки","126","Child of exile settler","Revise",""
"Дочь ссыльнокаторжной","111","Child of penal convict","Revise",""
"Сын ссыльнокаторжного","108","Child of penal convict","Revise",""
"Дочь ссыльнокаторжного","96","Child of penal convict","Revise",""
"Сын ссыльнокаторжной","95","Child of penal convict","Revise",""
"Сын крестьянина из ссыльных","84","Child of exile peasant","Revise",""
"Дочь крестьянина из ссыльных","77","Child of exile peasant","Revise",""
"Крестьянка из ссыльных","71","Exile peasant","Revise",""
"Сын крестьянки из ссыльных","31","Child of exile peasant","Revise",""
"Дочь крестьянки из ссыльных","27","Child of exile peasant","Revise",""
"Сын каторжного","22","Child of penal convict","Revise",""
"Запасной рядовой","16","Reserve private","Approve B",""
"Дочь каторжного","15","Child of penal convict","Revise",""
"Крестьянин","11","Peasant","Approve C",""
"Сын каторжной","9","Child of penal convict","Revise",""
"Запасной унтер-офицер","6","Reserve non-commissioned officer","Approve A",""
"Отставной рядовой","6","Retired private soldier","Approve A",""
"Административный ссыльный","4","Administrative exile","Approve A",""
"Отставной унтер-офицер","4","Retired non-commissioned officer","Approve A",""
"Рядовой","4","Private soldier","Approve A",""
"Дочь каторжной","3","Child of penal convict","Revise",""
"Крестьянка","3","Peasant","Revise",""
"Мещанин","3","Townsman","Revise",""
"Отставной фельдфебель","3","Retired first sergeant","Revise",""
"Дочь солдатки","2","Child of soldier's wife","Revise","Article-free controlled-label pattern confirmed 2026-08-05"
"Жена рядового","2","Wife of private soldier","Approve B",""
"Сын надворного советника","2","Child of court councillor","Revise",""
"Унтер-офицер","2","Non-commissioned officer","Approve A",""
"Штейгер","2","Mine foreman","Approve B",""
"Врач","1","Doctor","Approve B",""
"Дворянин","1","Nobleman","Approve A",""
"Дочь надворного советника","1","Child of court councillor","Revise",""
"Дочь отставного рядового","1","Child of retired private soldier","Revise",""
"Дочь подполковника","1","Child of lieutenant colonel","Revise",""
"Дочь рядового","1","Child of private soldier","Revise",""
"Жена врача","1","Wife of doctor","Revise","Article-free controlled-label pattern confirmed 2026-08-05"
"Жена надворного советника","1","Wife of court councillor","Approve B",""
"Жена подполковника","1","Wife of lieutenant colonel","Approve B",""
"Запасной ефрейтор","1","Reserve corporal","Approve B",""
"Канцелярский служащий","1","Clerk","Approve B",""
"Капитан","1","Captain","Approve B",""
"Кузнец","1","Blacksmith","Approve A",""
"Надворный советник","1","Court councillor","Approve B",""
"Повивальная бабка","1","Midwife","Approve A",""
"Подполковник","1","Lieutenant colonel","Approve A",""
"Подпоручик","1","Second lieutenant","Approve A",""
"Совладелец","1","Joint householder","Approve C",""
"Старший надзиратель","1","Senior warder","Approve C",""
"Сын подполковника","1","Child of lieutenant colonel","Revise",""
"Сын рядового","1","Child of private soldier","Revise",""
"Сын солдатки","1","Child of soldier's wife","Revise","Article-free controlled-label pattern confirmed 2026-08-05"
"Фельдшер","1","Medical assistant","Approve B",""
