russian_value,record_count,english_value,owner_decision,owner_notes
"Земледелие","245","Agriculture","Approve",""
"Чернорабочий","202","General labourer","Approve",""
"Плотник","128","Carpenter","Approve",""
"Сапожник","88","Shoemaker","Approve",""
"Писарь","54","Clerk","Approve",""
"Чернорабочая","50","General labourer","Approve",""
"Пильщик","48","Sawyer","Approve",""
"Портной","47","Tailor","Approve",""
"При муже","39","Dependent on husband","Approve",""
"Столяр","34","Joiner","Approve",""
"Рабочий","33","Worker","Approve",""
"Нет занятия","31","No occupation","Approve",""
"Слесарь","29","Fitter","Approve",""
"Кузнец","27","Blacksmith","Approve",""
"Старший надзиратель","26","Senior warder","Approve",""
"Надзиратель","22","Warder","Approve",""
"Печник","22","Stove maker","Approve",""
"Сторож","22","Watchman","Approve",""
"Пастух","21","Shepherd","Approve",""
"Дровотаск","16","Firewood carrier","Approve",""
"Каменный уголь","16","Coal work","Approve",""
"Работник","15","Hired worker","Approve",""
"Торговля","15","Trade","Approve",""
"Бондарь","12","Cooper","Approve",""
"Младший надзиратель","11","Junior warder","Approve",""
"Каюр","9","Dog-sled driver","Approve",""
"Рабочая","8","Worker","Approve",""
"Хлебопашец","8","Crop farmer","Approve",""
"Прачка","7","Laundress","Approve",""
"Хлебопек","7","Bread baker","Approve",""
"Маляр","6","Painter","Approve",""
"Рассыльный","6","Messenger","Approve",""
"Булочник","5","Baker","Approve",""
"Охотник","5","Hunter","Approve",""
"Рыбак","5","Fisherman","Approve",""
"Шорник","5","Harness maker","Approve",""
"Каменщик","4","Mason","Approve",""
"Кожевник","4","Leatherworker","Approve",""
"Механик","4","Mechanic","Approve",""
"Токарь","4","Turner","Approve",""
"Учитель","4","Teacher","Approve",""
"Фельдшер","4","Medical assistant","Approve",""
"Дегтярь","3","Tar maker","Approve",""
"Мельник","3","Miller","Approve",""
"На мельнице","3","Mill worker","Approve",""
"Носит сено","3","Hay carrier","Approve",""
"Служанка","3","Maid","Approve",""
"Телеграфист","3","Telegraph operator","Approve",""
"Штукатур","3","Plasterer","Approve",""
"Гончар","2","Potter","Approve",""
"Гравер","2","Engraver","Approve",""
"Делает папиросы","2","Papirosa maker","Revise",""
"Землемер","2","Land surveyor","Approve",""
"Золотых дел мастер","2","Goldsmith","Approve",""
"Колесник","2","Wheelwright","Approve",""
"Конюх","2","Stable hand","Approve",""
"Кучер","2","Coachman","Approve",""
"Медник","2","Coppersmith","Approve",""
"Моет полы","2","Floor cleaner","Approve",""
"Мулла","2","Mullah","Approve",""
"Наборщик","2","Typesetter","Approve",""
"Переплетчик","2","Bookbinder","Approve",""
"Печатник","2","Printer","Approve",""
"Повар","2","Cook","Approve",""
"При матери","2","Dependent on mother","Approve",""
"При отце","2","Dependent on father","Approve",""
"Приказчик","2","Shop clerk","Approve",""
"Швея","2","Seamstress","Approve",""
"Банщик","1","Bathhouse attendant","Approve",""
"Баня","1","Bathhouse work","Approve",""
"Богадельщик","1","Almshouse resident","Approve",""
"Бондарь; Столяр","1","Cooper; Joiner","Approve",""
"Булочник; Варит квас","1","Baker; Kvass maker","Approve",""
"Ветеринарный фельдшер","1","Veterinary assistant","Approve",""
"Возит хлеб","1","Bread delivery worker","Approve",""
"Горшечник","1","Clay-pot maker","Revise",""
"Гребенщик","1","Comb maker","Approve",""
"Заведующий станцией","1","Station manager","Approve",""
"Закройщик","1","Pattern cutter","Approve",""
"Инкрустационное","1","Inlay work","Approve",""
"Катерный","1","Launch worker","Approve",""
"Катерный машинист","1","Launch engine operator","Approve",""
"Кирпичник","1","Brickmaker","Approve",""
"Колбасник","1","Sausage maker","Approve",""
"Кондитер","1","Confectioner","Approve",""
