russian_value,record_count,english_value,classification,owner_decision,owner_notes
На Сахалине,1254,On Sakhalin,Place or regional label,Approve,
Тамбовская губерния,214,Tambov Governorate,Governorate,Approve,
Самарская губерния,186,Samara Governorate,Governorate,Approve,
Киевская губерния,179,Kiev Governorate,Governorate,Approve,
Полтавская губерния,170,Poltava Governorate,Governorate,Approve,
Черниговская губерния,162,Chernigov Governorate,Governorate,Approve,
Воронежская губерния,160,Voronezh Governorate,Governorate,Approve,
Область Войска Донского,150,Don Host Oblast,Oblast,Approve,
Саратовская губерния,138,Saratov Governorate,Governorate,Approve,
Нижегородская губерния,129,Nizhny Novgorod Governorate,Governorate,Approve,
Пермская губерния,129,Perm Governorate,Governorate,Approve,
Московская губерния,126,Moscow Governorate,Governorate,Approve,
Херсонская губерния,124,Kherson Governorate,Governorate,Approve,
Курская губерния,123,Kursk Governorate,Governorate,Approve,
Тверская губерния,120,Tver Governorate,Governorate,Approve,
В пути,113,In transit,Non-geographic source response,Approve,
Пензенская губерния,111,Penza Governorate,Governorate,Approve,
Новгородская губерния,107,Novgorod Governorate,Governorate,Approve,
Харьковская губерния,104,Kharkov Governorate,Governorate,Approve,
Екатеринославская губерния,103,Yekaterinoslav Governorate,Governorate,Approve,
Орловская губерния,97,Oryol Governorate,Governorate,Approve,
Рязанская губерния,93,Ryazan Governorate,Governorate,Revise,
Подольская губерния,83,Podolia Governorate,Governorate,Approve,
Владимирская губерния,83,Vladimir Governorate,Governorate,Approve,
Смоленская губерния,80,Smolensk Governorate,Governorate,Approve,
Псковская губерния,79,Pskov Governorate,Governorate,Approve,
Бессарабская губерния,78,Bessarabia Governorate,Governorate,Approve,
Вологодская губерния,78,Vologda Governorate,Governorate,Approve,
Вятская губерния,78,Vyatka Governorate,Governorate,Approve,
Костромская губерния,78,Kostroma Governorate,Governorate,Approve,
Лифляндская губерния,74,Livonia Governorate,Governorate,Approve,
Виленская губерния,73,Vilna Governorate,Governorate,Approve,
Витебская губерния,73,Vitebsk Governorate,Governorate,Approve,
Томская губерния,71,Tomsk Governorate,Governorate,Approve,
Ярославская губерния,71,Yaroslavl Governorate,Governorate,Approve,
Тульская губерния,70,Tula Governorate,Governorate,Approve,
Казанская губерния,67,Kazan Governorate,Governorate,Approve,
Ковенская губерния,65,Kovno Governorate,Governorate,Approve,
Симбирская губерния,65,Simbirsk Governorate,Governorate,Approve,
Калужская губерния,64,Kaluga Governorate,Governorate,Approve,
Варшавская губерния,63,Warsaw Governorate,Governorate,Approve,
Кубанская область,56,Kuban Oblast,Oblast,Approve,
Волынская губерния,55,Volhynia Governorate,Governorate,Approve,
Оренбургская губерния,49,Orenburg Governorate,Governorate,Approve,
Ставропольская губерния,49,Stavropol Governorate,Governorate,Approve,
Иркутская губерния,46,Irkutsk Governorate,Governorate,Approve,
Минская губерния,46,Minsk Governorate,Governorate,Approve,
Санкт-Петербургская губерния,45,Saint Petersburg Governorate,Governorate,Approve,
Тобольская губерния,45,Tobolsk Governorate,Governorate,Approve,
Енисейская губерния,44,Yeniseysk Governorate,Governorate,Approve,
Таврическая губерния,43,Taurida Governorate,Governorate,Approve,
Гродненская губерния,38,Grodno Governorate,Governorate,Approve,
Калишская губерния,35,Kalisz Governorate,Governorate,Approve,
Петроковская губерния,34,Piotrkow Governorate,Governorate,Approve,
Курляндская губерния,34,Courland Governorate,Governorate,Approve,
Усть-Кара,34,Ust-Kara,Place or regional label,Approve,
Могилёвская губерния,33,Mogilev Governorate,Governorate,Approve,
Бакинская губерния,32,Baku Governorate,Governorate,Approve,
Люблинская губерния,27,Lublin Governorate,Governorate,Approve,
Великое княжество Финляндское,25,Grand Duchy of Finland,Historical polity,Approve,
Уфимская губерния,25,Ufa Governorate,Governorate,Approve,
Радомская губерния,24,Radom Governorate,Governorate,Approve,
Ломжинская губерния,24,Lomza Governorate,Governorate,Approve,
Бродяга,22,Vagrant,Non-geographic source response,Approve,
Приморская область,22,Primorye Oblast,Oblast,Approve,
Келецкая губерния,20,Kielce Governorate,Governorate,Approve,
Плоцкая губерния,20,Plock Governorate,Governorate,Approve,
Тифлисская губерния,19,Tiflis Governorate,Governorate,Approve,
Эстляндская губерния,18,Estonia Governorate,Governorate,Approve,
Сувалкская губерния,18,Suwalki Governorate,Governorate,Approve,
Эриванская губерния,12,Erivan Governorate,Governorate,Approve,
Архангельская губерния,12,Arkhangelsk Governorate,Governorate,Approve,
Астраханская губерния,10,Astrakhan Governorate,Governorate,Approve,
Елисаветпольская губерния,10,Elisavetpol Governorate,Governorate,Approve,
Забайкальская область,9,Transbaikal Oblast,Oblast,Approve,
Кутаисская губерния,9,Kutaisi Governorate,Governorate,Approve,
Терская область,9,Terek Oblast,Oblast,Approve,
Семипалатинская область,8,Semipalatinsk Oblast,Oblast,Approve,
Сыр-Дарьинская область,8,Syr-Darya Oblast,Oblast,Approve,
Олонецкая губерния,7,Olonets Governorate,Governorate,Approve,
Прусский подданный,6,Prussian subject,Non-geographic source response,Approve,
Царство Польское,6,Kingdom of Poland,Historical polity,Approve,
Амурская область,5,Amur Oblast,Oblast,Approve,
Санкт‑Петербургская губерния,4,Saint Petersburg Governorate,Governorate,Approve,
Седлецкая губерния,3,Siedlce Governorate,Governorate,Approve,
Дагестанская область,3,Dagestan Oblast,Oblast,Approve,
Сибирь,3,Siberia,Place or regional label,Approve,
Австрийский подданный,2,Austrian subject,Non-geographic source response,Approve,
Выборгская губерния,2,Vyborg Governorate,Governorate,Approve,
Персидский подданный,2,Persian subject,Non-geographic source response,Approve,
Самаркандская область,2,Samarkand Oblast,Oblast,Approve,
Абоско-Бьёрнеборгская губерния,1,Abo and Bjorneborg Governorate,Governorate,Approve,
Акмолинская область,1,Akmolinsk Oblast,Oblast,Approve,
Бухарский эмират,1,Emirate of Bukhara,Historical polity,Approve,
Китай,1,China,Place or regional label,Approve,
Не помнит,1,Does not remember,Non-geographic source response,Approve,
Прусская подданная,1,Prussian subject,Non-geographic source response,Approve,
Румынское королевство,1,Kingdom of Romania,Historical polity,Approve,
Турецкий подданный,1,Ottoman subject,Non-geographic source response,Approve,
Якутская область,1,Yakutsk Oblast,Oblast,Approve,
