russian_value,record_count,english_value,classification,owner_decision,owner_notes
Пост Александровский,1338,Alexandrovsky Post,Compound/historical settlement label,Approve,
Рыковское,1266,Rykovskoe,Settlement proper name,Approve,
Дербинское,632,Derbinskoe,Settlement proper name,Approve,
Ново-Михайловское,446,Novo-Mikhaylovskoe,Settlement proper name,Approve,
Андрее-Ивановское,364,Andree-Ivanovskoe,Settlement proper name,Approve,
Палево,283,Palevo,Settlement proper name,Approve,
Пост Дуэ,274,Doue Post,Compound/historical settlement label,Revise,
Корсаковское,260,Korsakovskoe,Settlement proper name,Approve,
Воскресенское,183,Voskresenskoe,Settlement proper name,Approve,
Мало-Тымово,177,Malo-Tymovo,Settlement proper name,Approve,
Верхний Армудан,175,Verkhniy Armudan,Settlement proper name,Approve,
Березники,159,Berezniki,Settlement proper name,Approve,
Пост Корсаковский,148,Korsakovsky Post,Compound/historical settlement label,Approve,
Поповские Юрты,110,Popovskiye Yurts,Compound/historical settlement label,Approve,
Арково I,104,Arkovo I,Settlement proper name,Approve,
Александровское,95,Aleksandrovskoe,Settlement proper name,Approve,
Нижний Армудан,94,Nizhniy Armudan,Settlement proper name,Approve,
Красный Яр,90,Krasnyy Yar,Settlement proper name,Approve,
Владимировка,89,Vladimirovka,Settlement proper name,Approve,
Кресты,89,Kresty,Settlement proper name,Approve,
Арково II,86,Arkovo II,Settlement proper name,Approve,
Луговое,74,Lugovoe,Settlement proper name,Approve,
Сиянцы,71,Siyantsy,Settlement proper name,Approve,
Соловьевка,69,Solovevka,Settlement proper name,Approve,
Большое Такоэ,68,Bolshoe Takoe,Settlement proper name,Approve,
Усково,68,Uskovo,Settlement proper name,Approve,
Поро-ан-Томари,67,Poro-an-Tomari,Settlement proper name,Approve,
Лютога,53,Lyutoga,Settlement proper name,Approve,
Малое Такоэ,48,Maloe Takoe,Settlement proper name,Approve,
Дубки,41,Dubki,Settlement proper name,Approve,
Большая Елань,40,Bolshaya Elan,Settlement proper name,Approve,
Маука,38,Mauka,Settlement proper name,Approve,
Хомутовка,38,Khomutovka,Settlement proper name,Approve,
Арково III,35,Arkovo III,Settlement proper name,Approve,
Мгачи,35,Mgachi,Settlement proper name,Approve,
Хоэ,31,Khoe,Settlement proper name,Approve,
Третья Падь,30,Tretya Pad,Settlement proper name,Approve,
Мицулька,25,Mitsulka,Settlement proper name,Approve,
Бутаково,24,Butakovo,Settlement proper name,Approve,
Голый Мыс,24,Golyy Mys,Settlement proper name,Approve,
Виахты,17,Viakhty,Settlement proper name,Approve,
Лиственичное,15,Listvenichnoe,Settlement proper name,Approve,
Танги,15,Tangi,Settlement proper name,Approve,
Ванги,13,Vangi,Settlement proper name,Approve,
Арковский станок,11,Arkovsky Way Station,Compound/historical settlement label,Approve,
Вторая Падь,10,Vtoraya Pad,Settlement proper name,Approve,
Сиска,7,Siska,Settlement proper name,Approve,
Первая Падь,6,Pervaya Pad,Settlement proper name,Approve,
Трамбаус,6,Trambaus,Settlement proper name,Approve,
Арковский кордон,4,Arkovsky Cordon,Compound/historical settlement label,Approve,
Тарайское Зимовье,1,Tarayskoye Winter Settlement,Compound/historical settlement label,Revise,
