person_id,old_source_position_id,new_source_position_id,changed_fields,changed_field_count
P000001,1-01-001-0001,1-01-001-0001,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000002,1-01-001-0002,1-01-001-0002,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000003,1-01-001-0003,1-01-001-0003,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000004,1-01-001-0004,1-01-001-0004,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000005,1-01-001-0005,1-01-001-0005,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000006,1-01-001-0006,1-01-001-0006,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000007,1-01-002-0007,1-01-002-0007,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000008,1-01-002-0008,1-01-002-0008,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000009,1-01-002-0009,1-01-002-0009,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000010,1-01-002-0010,1-01-002-0010,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000011,1-01-003-0011,1-01-003-0011,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000012,1-01-003-0012,1-01-003-0012,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000013,1-01-003-0013,1-01-003-0013,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000014,1-01-003-0014,1-01-003-0014,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000015,1-01-003-0015,1-01-003-0015,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000016,1-01-003-0016,1-01-003-0016,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000017,1-01-004-0017,1-01-004-0017,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000018,1-01-004-0018,1-01-004-0018,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
P000019,1-01-004-0019,1-01-004-0019,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000020,1-01-004-0020,1-01-004-0020,family_status_norm; household_id; household_number; household_type; legal_status_norm; sex; sex_evidence,7
P000021,1-01-004-0021,1-01-004-0021,family_status_norm; household_id; household_number; household_type; legal_status_norm; literacy; sex; sex_evidence,8
