person_id,changed_field_count,changed_fields
P000001,3,marriage_status_norm; occupation_norm; origin_place_norm
P000002,2,marriage_status_norm; origin_place_norm
P000003,2,marriage_status_norm; origin_place_norm
P000004,2,marriage_status_norm; origin_place_norm
P000005,1,origin_place_norm
P000006,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000007,3,marriage_status_norm; occupation_norm; origin_place_norm
P000008,2,marriage_status_norm; origin_place_norm
P000009,1,origin_place_norm
P000010,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000011,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000012,2,marriage_status_norm; origin_place_norm
P000013,3,marriage_status_norm; occupation_norm; origin_place_norm
P000014,3,marriage_status_norm; occupation_norm; origin_place_norm
P000015,3,marriage_status_norm; occupation_norm; origin_place_norm
P000016,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000017,3,marriage_status_norm; occupation_norm; origin_place_norm
P000018,3,marriage_status_norm; occupation_norm; origin_place_norm
P000019,2,age_months; origin_place_norm
P000020,3,age_months; comments; origin_place_norm
P000021,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000022,3,marriage_status_norm; occupation_norm; origin_place_norm
P000023,3,marriage_status_norm; occupation_norm; origin_place_norm
P000024,3,marriage_status_norm; occupation_norm; origin_place_norm
P000025,3,marriage_status_norm; occupation_norm; origin_place_norm
P000026,1,origin_place_norm
P000027,3,age_months; comments; origin_place_norm
P000028,2,marriage_status_norm; origin_place_norm
P000029,2,marriage_status_norm; origin_place_norm
P000030,3,marriage_status_norm; occupation_norm; origin_place_norm
P000031,3,marriage_status_norm; occupation_norm; origin_place_norm
P000032,2,age_months; origin_place_norm
P000033,3,marriage_status_norm; occupation_norm; origin_place_norm
P000034,3,marriage_status_norm; occupation_norm; origin_place_norm
P000035,3,age_months; comments; origin_place_norm
P000036,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000037,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000038,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000039,3,marriage_status_norm; occupation_norm; origin_place_norm
P000040,3,marriage_status_norm; occupation_norm; origin_place_norm
P000041,2,marriage_status_norm; origin_place_norm
P000042,3,marriage_status_norm; occupation_norm; origin_place_norm
P000043,3,marriage_status_norm; occupation_norm; origin_place_norm
P000044,3,age_months; comments; origin_place_norm
P000045,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000046,3,marriage_status_norm; occupation_norm; origin_place_norm
P000047,4,age; marriage_status_norm; occupation_norm; origin_place_norm
P000048,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000049,3,marriage_status_norm; occupation_norm; origin_place_norm
P000050,3,marriage_status_norm; occupation_norm; origin_place_norm
P000051,2,age_months; origin_place_norm
P000052,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000053,3,marriage_status_norm; occupation_norm; origin_place_norm
P000054,3,marriage_status_norm; occupation_norm; origin_place_norm
P000055,1,origin_place_norm
P000056,1,origin_place_norm
P000058,3,marriage_status_norm; occupation_norm; origin_place_norm
P000059,3,marriage_status_norm; occupation_norm; origin_place_norm
P000060,3,marriage_status_norm; occupation_norm; origin_place_norm
P000061,2,age_months; origin_place_norm
P000062,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000063,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000064,3,marriage_status_norm; occupation_norm; origin_place_norm
P000065,3,marriage_status_norm; occupation_norm; origin_place_norm
P000066,1,origin_place_norm
P000067,2,marriage_status_norm; origin_place_norm
P000068,2,marriage_status_norm; origin_place_norm
P000070,1,origin_place_norm
P000071,1,origin_place_norm
P000072,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000073,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000074,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000075,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000076,3,marriage_status_norm; occupation_norm; origin_place_norm
P000077,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000078,3,marriage_status_norm; occupation_norm; origin_place_norm
P000079,3,marriage_status_norm; occupation_norm; origin_place_norm
P000080,3,age_months; comments; origin_place_norm
P000081,3,marriage_status_norm; occupation_norm; origin_place_norm
P000082,2,marriage_status_norm; origin_place_norm
P000083,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000084,2,marriage_status_norm; origin_place_norm
P000085,3,marriage_status_norm; occupation_norm; origin_place_norm
P000086,3,marriage_status_norm; occupation_norm; origin_place_norm
P000087,3,marriage_status_norm; occupation_norm; origin_place_norm
P000088,3,marriage_status_norm; occupation_norm; origin_place_norm
P000091,3,marriage_status_norm; occupation_norm; origin_place_norm
P000092,2,marriage_status_norm; occupation_norm
P000093,2,age_months; origin_place_norm
P000094,3,age_months; comments; origin_place_norm
P000095,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000096,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000097,3,marriage_status_norm; occupation_norm; origin_place_norm
P000098,3,marriage_status_norm; occupation_norm; origin_place_norm
P000099,2,marriage_status_norm; origin_place_norm
P000100,3,marriage_status_norm; occupation_norm; origin_place_norm
P000101,3,marriage_status_norm; occupation_norm; origin_place_norm
P000102,3,living_alone_status; marriage_status_norm; origin_place_norm
P000103,2,marriage_status_norm; origin_place_norm
P000104,3,marriage_status_norm; occupation_norm; origin_place_norm
P000105,2,marriage_status_norm; origin_place_norm
P000106,2,marriage_status_norm; origin_place_norm
P000107,3,marriage_status_norm; occupation_norm; origin_place_norm
P000108,2,marriage_status_norm; origin_place_norm
P000109,3,age_months; comments; origin_place_norm
P000110,3,marriage_status_norm; occupation_norm; origin_place_norm
P000111,3,marriage_status_norm; occupation_norm; origin_place_norm
P000112,2,marriage_status_norm; origin_place_norm
P000113,2,marriage_status_norm; origin_place_norm
P000114,2,marriage_status_norm; origin_place_norm
P000115,3,living_alone_status; marriage_status_norm; origin_place_norm
P000116,2,marriage_status_norm; origin_place_norm
P000117,2,marriage_status_norm; origin_place_norm
P000118,2,marriage_status_norm; origin_place_norm
P000119,3,marriage_status_norm; occupation_norm; origin_place_norm
P000120,3,living_alone_status; marriage_status_norm; origin_place_norm
P000121,3,living_alone_status; marriage_status_norm; origin_place_norm
P000122,2,marriage_status_norm; origin_place_norm
P000123,2,marriage_status_norm; origin_place_norm
P000124,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000125,3,marriage_status_norm; occupation_norm; origin_place_norm
P000126,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000127,2,marriage_status_norm; origin_place_norm
P000128,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000129,4,age; marriage_status_norm; occupation_norm; origin_place_norm
P000130,2,marriage_status_norm; origin_place_norm
P000131,3,marriage_status_norm; occupation_norm; origin_place_norm
P000132,3,marriage_status_norm; occupation_norm; origin_place_norm
P000133,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000134,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000135,4,comments; living_alone_status; marriage_status_norm; occupation_norm
P000136,3,marriage_status_norm; occupation_norm; origin_place_norm
P000137,3,living_alone_status; marriage_status_norm; origin_place_norm
P000138,4,living_alone_status; marriage_status_norm; occupation_norm; origin_place_norm
P000139,3,living_alone_status; marriage_status_norm; origin_place_norm
P000140,3,marriage_status_norm; occupation_norm; origin_place_norm
P000141,3,living_alone_status; marriage_status_norm; origin_place_norm
P000142,2,marriage_status_norm; origin_place_norm
P000143,3,living_alone_status; marriage_status_norm; origin_place_norm
P000144,3,marriage_status_norm; occupation_norm; origin_place_norm
P000145,2,marriage_status_norm; origin_place_norm
P000146,3,marriage_status_norm; occupation_norm; origin_place_norm
P000147,2,age_months; origin_place_norm
P000148,3,marriage_status_norm; occupation_norm; origin_place_norm
P000149,3,marriage_status_norm; occupation_norm; origin_place_norm
P000150,2,marriage_status_norm; origin_place_norm
P000151,2,comments; origin_place_norm
P000152,2,comments; origin_place_norm
P000153,2,comments; origin_place_norm
P000154,3,living_alone_status; marriage_status_norm; origin_place_norm
P000155,3,marriage_status_norm; occupation_norm; origin_place_norm
P000156,2,marriage_status_norm; origin_place_norm
P000157,1,origin_place_norm
P000158,1,origin_place_norm
P000159,1,origin_place_norm
P000160,1,origin_place_norm
P000161,2,age_months; origin_place_norm
P000162,2,marriage_status_norm; origin_place_norm
P000163,3,living_alone_status; marriage_status_norm; origin_place_norm
P000164,2,marriage_status_norm; origin_place_norm
P000165,3,living_alone_status; marriage_status_norm; origin_place_norm
P000166,2,marriage_status_norm; origin_place_norm
P000167,2,marriage_status_norm; origin_place_norm
P000168,2,marriage_status_norm; origin_place_norm
P000169,3,marriage_status_norm; occupation_norm; origin_place_norm
P000170,2,marriage_status_norm; origin_place_norm
P000171,3,living_alone_status; marriage_status_norm; origin_place_norm
P000172,3,marriage_status_norm; occupation_norm; origin_place_norm
P000173,2,marriage_status_norm; origin_place_norm
P000174,2,comments; origin_place_norm
P000175,3,age_months; comments; origin_place_norm
P000176,3,age_months; comments; origin_place_norm
P000177,2,marriage_status_norm; origin_place_norm
P000178,2,marriage_status_norm; origin_place_norm
P000179,2,marriage_status_norm; origin_place_norm
P000180,1,origin_place_norm
P000181,1,origin_place_norm
P000182,1,origin_place_norm
P000183,1,origin_place_norm
P000184,2,marriage_status_norm; origin_place_norm
