person_id,source_position_id,page_number,comments_before,comments_after,reason
P000044,1-01-008-0044,29,338,,pure_numeric_comment
P000151,1-02-002-0056,36,212,,pure_numeric_comment
P000152,1-02-002-0057,37,211,,pure_numeric_comment
P000153,1-02-002-0058,37,210,,pure_numeric_comment
P000174,1-02-005-0079,38,209,,pure_numeric_comment
P000175,1-02-005-0080,38,208,,pure_numeric_comment
P000176,1-02-005-0081,38,201,,pure_numeric_comment
P000205,1-02-009-0110,39,206,,pure_numeric_comment
P000208,1-02-010-0113,40,205,,pure_numeric_comment
P000215,1-02-012-0120,40,204,,pure_numeric_comment
P000258,1-02-022-0163,43,203,,pure_numeric_comment
P000259,1-02-022-0164,43,202,,pure_numeric_comment
P000260,1-02-022-0165,43,201,,pure_numeric_comment
P000279,1-02-026-0184,44,199,,pure_numeric_comment
P000312,1-02-034-0217,46,198,,pure_numeric_comment
P000327,1-02-036-0232,47,197,,pure_numeric_comment
P000333,1-02-037-0238,47,196,,pure_numeric_comment
P000335,1-02-038-0240,47,195,,pure_numeric_comment
P000349,1-02-040-0254,48,194,,pure_numeric_comment
P000364,1-02-044-0269,49,191,,pure_numeric_comment
P000365,1-02-044-0270,49,193,,pure_numeric_comment
P000366,1-02-044-0271,49,192,,pure_numeric_comment
P000383,1-02-048-0288,50,190,,pure_numeric_comment
P000386,1-02-049-0291,50,189,,pure_numeric_comment
P000387,1-02-049-0292,50,188,,pure_numeric_comment
P000390,1-02-050-0295,50,186,,pure_numeric_comment
P000395,1-02-051-0300,51,185,,pure_numeric_comment
P000396,1-02-051-0301,51,184,,pure_numeric_comment
P000397,1-02-051-0302,51,183,,pure_numeric_comment
P000398,1-02-051-0303,51,182,,pure_numeric_comment
P000407,1-02-052-0312,51,181,,pure_numeric_comment
P000408,1-02-052-0313,51,180,,pure_numeric_comment
P000471,1-02-064-0376,55,179,,pure_numeric_comment
P000489,1-02-068-0394,56,178,,pure_numeric_comment
P000490,1-02-068-0395,56,177,,pure_numeric_comment
P000491,1-02-068-0396,56,176,,pure_numeric_comment
P000521,1-02-076-0426,58,175,,pure_numeric_comment
P000522,1-02-076-0427,58,174,,pure_numeric_comment
P000523,1-02-076-0428,58,173,,pure_numeric_comment
P000557,1-02-085-0462,61,172,,pure_numeric_comment
P000564,1-02-087-0469,61,31,,pure_numeric_comment
P000565,1-02-087-0470,61,42,,pure_numeric_comment
P000566,1-02-087-0471,61,53,,pure_numeric_comment
P000590,1-02-092-0495,63,169,,pure_numeric_comment
P000593,1-02-092-0498,63,170,,pure_numeric_comment
P000594,1-02-092-0499,63,171,,pure_numeric_comment
P000665,1-02-118-0570,67,167,,pure_numeric_comment
P000666,1-02-118-0571,67,168,,pure_numeric_comment
P000723,1-02-147-0628,71,165,,pure_numeric_comment
P000724,1-02-147-0629,71,166,,pure_numeric_comment
P000737,1-02-150-0642,72,164,,pure_numeric_comment
P000775,1-02-159-0680,74,163,,pure_numeric_comment
P000781,1-02-160-0686,74,162,,pure_numeric_comment
P000806,1-02-165-0711,76,189,,pure_numeric_comment
P000807,1-02-165-0712,76,168,,pure_numeric_comment
P000871,1-02-178-0776,80,158,,pure_numeric_comment
P000907,1-02-186-0812,82,155,,pure_numeric_comment
P000908,1-02-186-0813,82,156,,pure_numeric_comment
P000920,1-02-189-0825,83,154,,pure_numeric_comment
P000921,1-02-189-0826,83,153,,pure_numeric_comment
P000928,1-02-191-0833,84,150,,pure_numeric_comment
P000930,1-02-191-0835,84,151,,pure_numeric_comment
P000931,1-02-191-0836,84,152,,pure_numeric_comment
P000995,1-02-201-0900,88,149,,pure_numeric_comment
P001005,1-02-204-0910,88,148,,pure_numeric_comment
P001021,1-02-208-0926,89,147,,pure_numeric_comment
P001026,1-02-209-0931,90,146,,pure_numeric_comment
