english_field,source_field,rule,source_populated,output_populated,mismatches,status
person_id,person_id,direct,7446,7446,0,PASS
source_position_id,source_position_id,direct,7446,7446,0,PASS
district,district,map,7446,7446,0,PASS
settlement,settlement,map,7446,7446,0,PASS
person_seq,person_order_in_settlement,direct,7446,7446,0,PASS
household_id,household_id,direct,7200,7200,0,PASS
household_type,household_type,map,7422,7422,0,PASS
legal_status,legal_status_norm,map,7422,7422,0,PASS
full_name,name_raw,name,7446,7446,0,PASS
sex,sex,map,7446,7446,0,PASS
family_status,family_status_norm,map,7324,7324,0,PASS
age,age,direct,7299,7299,0,PASS
age_months,age_months,direct,638,638,0,PASS
religion,religion,map,7196,7196,0,PASS
origin_place,origin_place_norm,map,6608,6608,0,PASS
arrival_year,arrival_year,direct,4826,4826,0,PASS
occupation,occupation_norm,map,1474,1474,0,PASS
literacy,literacy,map,5418,5418,0,PASS
marital_status,marriage_status_norm,map,5341,5341,0,PASS
living_alone_status,living_alone_status,map,442,442,0,PASS
allowance_status,allowance_status,map,6878,6878,0,PASS
illness,illness_norm,map,53,53,0,PASS
archive_code,notes_raw,archive,7446,7446,0,PASS
