person_id,source_position_id,page_number,field,before,after
P000020,1-01-004-0020,28,age_months,,3
P000020,1-01-004-0020,28,comments,3 месяца,
P000027,1-01-005-0027,28,age_months,,6
P000027,1-01-005-0027,28,comments,6 месяцев,
P000035,1-01-006-0035,29,age_months,,3
P000035,1-01-006-0035,29,comments,3 месяца,
P000080,1-01-013-0080,32,age_months,,7
P000080,1-01-013-0080,32,comments,7 месяцев,
P000094,1-01-016-0094,33,age_months,,2
P000094,1-01-016-0094,33,comments,2 месяца,
P000109,1-02-000-0014,34,age_months,,11
P000109,1-02-000-0014,34,comments,11 месяцев,
P000176,1-02-005-0081,38,age_months,,1
P000176,1-02-005-0081,38,comments,1 месяц; 201,201
P000186,1-02-006-0091,38,age_months,,7
P000186,1-02-006-0091,38,comments,7 месяцев,
P000205,1-02-009-0110,39,age_months,,7
P000205,1-02-009-0110,39,comments,7 месяцев; 206,206
P000245,1-02-018-0150,42,age_months,,9
P000245,1-02-018-0150,42,comments,9 месяцев,
P000260,1-02-022-0165,43,age_months,,11
P000260,1-02-022-0165,43,comments,11 месяцев; 201,201
P000268,1-02-023-0173,43,age_months,,0
P000330,1-02-036-0235,47,age_months,,7
P000330,1-02-036-0235,47,comments,7 месяцев,
P000335,1-02-038-0240,47,age_months,,9
P000335,1-02-038-0240,47,comments,9 месяцев; 195,195
P000341,1-02-039-0246,47,age_months,,16
P000341,1-02-039-0246,47,comments,1 год 4 месяца,
P000345,1-02-039-0250,48,age_months,,3
P000345,1-02-039-0250,48,comments,3 месяца,
P000391,1-02-050-0296,50,age_months,,0
P000398,1-02-051-0303,51,age_months,,4
P000398,1-02-051-0303,51,comments,4 месяца; 182,182
P000419,1-02-053-0324,52,age_months,,9
P000419,1-02-053-0324,52,comments,9 месяцев,
P000496,1-02-069-0401,57,age_months,,9
P000496,1-02-069-0401,57,comments,9 месяцев,
P000523,1-02-076-0428,58,age_months,,20
P000523,1-02-076-0428,58,comments,1 год 8 месяцев; 173,173
P000547,1-02-082-0452,60,age_months,,2
P000547,1-02-082-0452,60,comments,2 месяца,
P000594,1-02-092-0499,63,age_months,,11
P000594,1-02-092-0499,63,comments,11 месяцев; 171,171
P000604,1-02-095-0509,63,age_months,,8
P000604,1-02-095-0509,63,comments,8 месяцев,
P000646,1-02-110-0551,66,age_months,,0
P000691,1-02-130-0596,69,age_months,,3
P000691,1-02-130-0596,69,comments,3 месяца,
P000698,1-02-134-0603,69,age_months,,11
P000698,1-02-134-0603,69,comments,11 месяцев,
P000709,1-02-141-0614,70,age_months,,2
P000709,1-02-141-0614,70,comments,2 месяца,
P000790,1-02-162-0695,75,age_months,,0
P000793,1-02-162-0698,75,age_months,,7
P000793,1-02-162-0698,75,comments,7 месяцев,
P000798,1-02-163-0703,76,age_months,,1
P000798,1-02-163-0703,76,comments,1 месяц,
P000804,1-02-164-0709,76,age_months,,1
P000804,1-02-164-0709,76,comments,1 месяц,
P000848,1-02-172-0753,79,age_months,,3
P000848,1-02-172-0753,79,comments,3 месяца,
P000909,1-02-181-0814,82,age_months,,0
