family_status,count
Хозяин,2674
Жена,643
Сожительница,632
Совладелец,570
Жилец,510
Сын,447
Дочь,396
Незаконнорожденный сын,226
Незаконнорожденная дочь,223
,124
Работник,105
Жена жильца,95
Жена совладельца,63
Хозяйка,60
Жилица,44
хозяин,40
Дочь совладельца,37
Сожительница совладельца,36
Сын совладельца,28
дочь,27
Сын жильца,24
сын,21
Сожитель,19
жена,19
Дочь жильца,18
Сожительница жильца,17
Прислуга,15
Приемная дочь,14
Незаконнорожденная дочь сожительницы,13
сожительница,13
Приемный сын,11
Незаконнорожденный сын сожительницы,8
Совладелица,8
Сожительница хозяина,8
Хозяин квартиры,8
Брат,7
Незаконнорожденный сын жилицы,7
Сын сожительницы,7
Жена хозяина,6
работник,6
Внучка,5
Дочь сожительницы,5
Незаконнорожденная дочь совладельца,5
Мать,4
Муж. хозяин,4
Незаконнорожденный сын жильца,4
Работница,4
Сын хозяина,4
Хозяйка. жена,4
Дочь жилицы,3
Мать сожительницы,3
Невестка,3
Незаконнорожденная дочь жены,3
Незаконнорожденная дочь жилицы,3
Незаконнорожденный сын совладельца,3
Сын жилицы,3
Сын крестьянина,3
1-я жена,2
2-я жена,2
Брат сожительницы,2
Жена работника,2
Жена сына,2
Зять,2
Незаконнорожденная дочь хозяина,2
Незаконнорожденный сын жены,2
Незаконнорожденный сын совладелицы,2
Отец,2
Падчерица,2
Пасынок,2
Пасынок жильца,2
Приемная дочь жильца,2
Сестра,2
Сожитель хозяйки,2
Сожительница Петрова,2
Сожительница надзирателя,2
жилец,2
незаконнорожденная дочь,2
незаконнорожденный сын сожительницы Дубеля,2
Брат совладельца,1
Брат сожителя,1
В работниках,1
Внук,1
Двоюродный брат,1
Дочь Стрельцова,1
Дочь работника,1
Дочь сына. Внучка,1
Дочь хозяина,1
Жена Ефима,1
Жена Мухортова,1
Жена Непомнящего,1
Жена отца,1
Жена сторожа,1
Жилец. Совладелец,1
Жилица. Сожительница Фисенко,1
Кухарка,1
Мать Жуковой,1
Мать жильца,1
Мать сожителя,1
Муж,1
На воспитании. Сын,1
Незаконнорожденная дочь Вертушенковой,1
Незаконнорожденная дочь Зайцевой,1
Незаконнорожденная дочь Кирилкиной,1
Незаконнорожденная дочь Марченковой,1
Незаконнорожденная дочь Фединой,1
Незаконнорожденная дочь совладелицы,1
Незаконнорожденный сын Бондаренковой,1
Незаконнорожденный сын Жуковой,1
Незаконнорожденный сын Кирилкиной,1
Незаконнорожденный сын Кириловой,1
Незаконнорожденный сын Малафеевой,1
Незаконнорожденный сын Митряевой,1
Незаконнорожденный сын Шуликиной от Алексеева,1
Незаконнорожденный сын Щетинина,1
Незаконнорожденный сын Юдиной,1
Незаконнорожденный сын Ягодкиной,1
Незаконнорожденный сын. Приемный,1
Нянька,1
Повар аудитора,1
Приемный отец,1
Приемыш жильца,1
Приемыш незаконный внук,1
Свекровь сожительницы,1
Сестра жены,1
Служанка,1
Сожитель матери,1
Сожитель хозяйки. Сожитель,1
Сожительница Афонина,1
Сожительница Безпалова,1
Сожительница Волошина,1
Сожительница Ефимова,1
Сожительница Зайцева,1
Сожительница Запорожца,1
Сожительница Звонкова,1
Сожительница Знайдовского,1
Сожительница Исакова,1
Сожительница Каширина,1
Сожительница Каштыкевича,1
Сожительница Кондратьева,1
Сожительница Коновалова,1
Сожительница Корнеева Сожительница жильца,1
Сожительница Ксенофонтова,1
Сожительница Лангера,1
Сожительница Лочь,1
Сожительница Матвеева,1
Сожительница Миллера,1
Сожительница Митькина,1
Сожительница Муромского,1
Сожительница Наволочки,1
Сожительница Питерского,1
Сожительница Родова,1
Сожительница Семенова,1
Сожительница Тамбовского,1
Сожительница Тимофеева,1
Сожительница Тихонова,1
Сожительница Фельда,1
Сожительница Щетинина. Сожительница,1
Сожительница жильца Боутова,1
Сожительница жильца Брегора,1
Сожительница жильца Волкова,1
Сожительница жильца Михайлова,1
Сожительница жильца Фомина,1
Сожительница и совладелица,1
Сожительница хозяина сожительница,1
Сожительница хозяина. Хозяйка,1
Сожительница хозяйка,1
Сожительница № 1,1
Сожительница № 2,1
Сторож,1
Сын Михеева,1
Сын каюра. Сын,1
Сын писаря,1
Сын работника,1
Теща,1
Хозяин из киргиз,1
Хозяин квартиры №,1
Хозяин-писарь,1
Хозяйка. Жена,1
жена Каспера Егорова,1
жена писаря,1
жилица,1
незаконнорожденная дочь поселенца,1
незаконнорожденная дочь сожительницы сына,1
совладелец,1
сожительница Дергачева,1
сожительница жильца,1
сожительница жильца Драпникова,1
сожительница приемного сына,1
сын жильца,1
сын сожительницы,1
