person_id,page_number,marriage_status,marriage_status_norm,living_alone_status,comments_before,comments_after
P000001,27,женат на родине,Женат на родине,,,
P000002,27,женат на родине,Женат на родине,,,
P000003,27,холост,Холост,,,
P000004,27,холост,Холост,,,
P000006,27,холост. одинок,Холост,Одинок,,
P000007,27,женат на Сахалине,Женат на Сахалине,,,
P000008,27,женат на Сахалине,Женат на Сахалине,,Житомирская,Житомирская
P000010,27,женат на родине. одинок,Женат на родине,Одинок,,
P000011,27,холост. одинок,Холост,Одинок,,
P000012,28,женат на родине,Женат на родине,,,
P000013,28,женат на родине,Женат на родине,,,
P000014,28,холост,Холост,,Во Владивостоке,Во Владивостоке
P000015,28,холост,Холост,,,
P000016,28,холост. одинок,Холост,Одинок,,
P000017,28,женат на родине,Женат на родине,,Во Владивостоке,Во Владивостоке
P000018,28,женат на родине,Женат на родине,,,
P000021,28,женат на родине. одинок,Женат на родине,Одинок,,
P000022,28,женат на родине,Женат на родине,,,
P000023,28,женат на родине,Женат на родине,,,
P000024,28,женат на Сахалине,Женат на Сахалине,,,
P000025,28,женат на Сахалине,Женат на Сахалине,,,
P000028,29,холост,Холост,,,
P000029,29,холост,Холост,,,
P000030,29,женат на Сахалине,Женат на Сахалине,,,
P000031,29,женат на Сахалине,Женат на Сахалине,,,
P000033,29,женат на Сахалине,Женат на Сахалине,,,
P000034,29,женат на Сахалине,Женат на Сахалине,,,
P000036,29,женат на родине. одинок,Женат на родине,Одинок,,
P000037,29,холост. одинок,Холост,Одинок,,
P000038,29,женат на родине. одинок,Женат на родине,Одинок,,
P000039,29,холост,Холост,,,
P000040,29,холост,Холост,,Новочеркасская область,Новочеркасская область
P000041,29,холост,Холост,,,
P000042,29,женат на родине,Женат на родине,,,
P000043,29,вдов,Вдов,,,
P000045,30,холост. одинок,Холост,Одинок,,
P000046,30,женат на родине,Женат на родине,,,
P000047,30,женат на родине,Женат на родине,,,
P000048,30,холост. одинок,Холост,Одинок,,
P000049,30,женат на Сахалине,Женат на Сахалине,,,
P000050,30,женат на Сахалине,Женат на Сахалине,,,
P000052,30,вдов. одинок,Вдов,Одинок,,
P000053,30,женат на Сахалине,Женат на Сахалине,,,
P000054,30,женат на Сахалине,Женат на Сахалине,,,
P000058,30,женат на родине,Женат на родине,,,
P000059,30,женат на родине,Женат на родине,,,
P000060,30,холост,Холост,,,
P000062,31,вдов. одинока,Вдов,Одинок,,
P000063,31,вдов. одинок,Вдов,Одинок,,
P000064,31,женат на Сахалине,Женат на Сахалине,,,
P000065,31,женат на Сахалине,Женат на Сахалине,,,
P000067,31,женат на Сахалине,Женат на Сахалине,,,
P000068,31,женат на Сахалине,Женат на Сахалине,,,
P000072,31,холост. одинок,Холост,Одинок,,
P000073,31,холост. одинок,Холост,Одинок,,
P000074,31,женат на родине. одинок,Женат на родине,Одинок,,
P000075,31,холост. одинок,Холост,Одинок,,
P000076,31,женат на родине,Женат на родине,,,
P000077,31,холост. одинок,Холост,Одинок,,
P000078,32,женат на родине,Женат на родине,,,
P000079,32,женат на родине,Женат на родине,,,
P000081,32,женат на родине,Женат на родине,,,
P000082,32,женат на родине,Женат на родине,,,
P000083,32,женат на родине. одинок,Женат на родине,Одинок,,
P000084,32,женат на родине,Женат на родине,,,
P000085,32,женат на родине,Женат на родине,,,
P000086,32,женат на родине,Женат на родине,,,
P000087,32,холост,Холост,,,
P000088,32,холост,Холост,,,
P000091,32,женат на Сахалине,Женат на Сахалине,,,
P000092,32,женат на Сахалине,Женат на Сахалине,,,
P000095,33,женат на родине. одинок,Женат на родине,Одинок,,
P000096,33,женат на родине. одинок,Женат на родине,Одинок,,
P000097,33,женат на родине,Женат на родине,,,
P000098,33,вдов,Вдов,,,
P000099,33,вдов,Вдов,,,
P000100,33,холост,Холост,,,
P000101,33,женат на родине,Женат на родине,,,
P000102,33,вдов. одинок,Вдов,Одинок,,
P000103,33,холост,Холост,,,
P000104,33,холост,Холост,,,
P000105,33,вдов,Вдов,,,
P000106,33,женат на родине,Женат на родине,,,
P000107,33,женат на родине,Женат на родине,,,
P000108,34,женат на родине,Женат на родине,,,
P000110,34,холост,Холост,,,
P000111,34,холост,Холост,,,
P000112,34,вдов,Вдов,,У Мелевича,У Мелевича
P000113,34,холост,Холост,,Надецк,Надецк
P000114,34,холост,Холост,,,
P000115,34,женат на родине. одинок,Женат на родине,Одинок,Надецк,Надецк
P000116,34,женат на родине,Женат на родине,,,
P000117,34,женат на родине,Женат на родине,,Дом Мыльникова,Дом Мыльникова
P000118,34,вдов,Вдов,,,
P000119,34,холост,Холост,,,
P000120,34,женат на родине. одинок,Женат на родине,Одинок,,
P000121,34,женат на родине. одинок,Женат на родине,Одинок,,
P000122,35,холост,Холост,,,
P000123,35,женат на родине,Женат на родине,,,
P000124,35,женат на родине. одинок,Женат на родине,Одинок,,
P000125,35,холост,Холост,,,
P000126,35,женат на родине. одинок,Женат на родине,Одинок,,
P000127,35,вдов,Вдов,,,
P000128,35,женат на родине. одинок,Женат на родине,Одинок,,
P000129,35,женат на родине,Женат на родине,,,
P000130,35,женат на родине,Женат на родине,,пришла за мужем,пришла за мужем
P000131,35,холост,Холост,,,
P000132,35,вдов,Вдов,,,
P000133,35,женат на родине. одинок,Женат на родине,Одинок,,
P000134,35,женат на родине. одинок,Женат на родине,Одинок,,
P000135,35,женат на родине. одинок,Женат на родине,Одинок,Анастасия Савельева 49. Алекс. Савельев 48. Ярцев 43. Родилось мужчин 34 женщин 26. Умерло мужчин 69 женщин 13,Анастасия Савельева 49. Алекс. Савельев 48. Ярцев 43. Родилось мужчин 34 женщин 26. Умерло мужчин 69 женщин 13
P000136,36,холост,Холост,,,
P000137,36,холост. одинок,Холост,Одинок,,
P000138,36,холост. одинок,Холост,Одинок,,
P000139,36,вдов. одинок,Вдов,Одинок,,
P000140,36,холост,Холост,,,
P000141,36,женат на родине. одинок,Женат на родине,Одинок,,
P000142,36,холост,Холост,,,
P000143,36,вдов. одинок,Вдов,Одинок,,
P000144,36,вдов,Вдов,,,
P000145,36,женат на родине,Женат на родине,,,
P000146,36,женат на родине,Женат на родине,,,
P000148,36,холост,Холост,,,
P000149,36,женат на родине,Женат на родине,,,
P000150,36,вдов,Вдов,,,
P000154,37,женат на родине. одинок,Женат на родине,Одинок,,
P000155,37,женат на Сахалине,Женат на Сахалине,,,
P000156,37,женат на Сахалине,Женат на Сахалине,,,
P000162,37,холост,Холост,,,
P000163,37,вдов. одинок,Вдов,Одинок,,
P000164,37,вдов,Вдов,,,
P000165,37,женат на родине. одинок,Женат на родине,Одинок,,
P000166,37,женат на родине,Женат на родине,,,
P000167,37,вдов,Вдов,,Ташкент,Ташкент
P000168,37,женат на родине,Женат на родине,,,
P000169,37,женат на родине,Женат на родине,,,
P000170,38,холост,Холост,,,
P000171,38,женат на родине. одинок,Женат на родине,Одинок,,
P000172,38,холост,Холост,,,
P000173,38,женат на родине,Женат на родине,,,
P000177,38,вдов,Вдов,,,
P000178,38,женат на родине,Женат на родине,,,
P000179,38,женат на родине,Женат на родине,,,
P000184,38,женат на родине,Женат на родине,,,
P000187,38,женат на родине,Женат на родине,,,
P000189,39,холост,Холост,,,
