person_id,page_number,origin_place,origin_place_norm,classification
P000024,28,по пути,В пути,transit
P000151,36,По пути,В пути,transit
P000185,38,По пути,В пути,transit
P000215,40,По пути,В пути,transit
P000283,44,По пути,В пути,transit
P000312,46,По пути,В пути,transit
P000419,52,По пути,В пути,transit
P000471,55,По пути,В пути,transit
P000521,58,По пути,В пути,transit
P000522,58,По пути,В пути,transit
P000557,61,По пути,В пути,transit
P000578,62,Прусскоподданый,Прусский подданный,foreign_subjecthood
P000593,63,По пути,В пути,transit
P000656,67,по пути,В пути,transit
P000672,68,По пути,В пути,transit
P000745,72,По пути,В пути,transit
P000958,85,По пути,В пути,transit
P001305,106,По пути,В пути,transit
P001334,108,По пути,В пути,transit
P001345,109,По пути,В пути,transit
P001360,110,По пути,В пути,transit
P001365,110,По пути,В пути,transit
P001366,110,По пути,В пути,transit
P001400,112,По пути,В пути,transit
P001403,112,По пути,В пути,transit
P001464,116,По пути,В пути,transit
P001496,118,по пути,В пути,transit
P001497,118,по пути,В пути,transit
P001576,123,По пути,В пути,transit
P001619,126,По пути,В пути,transit
P001689,130,По пути,В пути,transit
P001697,131,По пути,В пути,transit
P001711,132,По пути,В пути,transit
P001874,142,По пути,В пути,transit
P001947,146,По пути,В пути,transit
P002057,153,По пути,В пути,transit
P002071,154,По пути,В пути,transit
P002215,163,по пути,В пути,transit
P002219,163,по пути,В пути,transit
P002953,227,По пути,В пути,transit
P002967,228,По пути,В пути,transit
P002996,229,на Сахалине,На Сахалине,exceptional_non_administrative
P003058,233,По пути,В пути,transit
P003063,233,По пути,В пути,transit
P003090,235,Прусско-подданный,Прусский подданный,foreign_subjecthood
P003122,237,По пути,В пути,transit
P003157,239,По пути,В пути,transit
P003225,242,По пути,В пути,transit
P003278,245,По пути,В пути,transit
P003318,248,По пути,В пути,transit
P003344,250,на Сахалине,На Сахалине,exceptional_non_administrative
P003367,251,По пути,В пути,transit
P003368,251,По пути,В пути,transit
P003411,253,По пути,В пути,transit
P003417,254,по пути,В пути,transit
P003669,266,По пути,В пути,transit
P003695,268,По пути,В пути,transit
P003791,273,Турецко-подданный,Турецкий подданный,foreign_subjecthood
P003990,283,По пути,В пути,transit
P003998,283,По пути,В пути,transit
P004105,289,не помнит,Не помнит,exceptional_non_administrative
P004175,294,По пути,В пути,transit
P004245,297,В пути следования,В пути,transit
P004259,298,В пути следования,В пути,transit
P004260,298,в пути следования,В пути,transit
P004267,299,по пути,В пути,transit
P004291,300,В пути следования,В пути,transit
P004320,302,на Сахалине,На Сахалине,exceptional_non_administrative
P004370,305,по пути,В пути,transit
P004380,305,По пути,В пути,transit
P004417,308,По пути,В пути,transit
P004421,308,По пути,В пути,transit
P004433,308,По пути,В пути,transit
P004521,313,В пути следования,В пути,transit
P004574,316,В пути следования,В пути,transit
P004581,316,В пути следования,В пути,transit
P004661,321,По пути,В пути,transit
P004662,321,По пути,В пути,transit
P004766,326,В пути следования,В пути,transit
P004794,328,В пути следования,В пути,transit
P004818,329,В пути следования,В пути,transit
P004831,330,в пути следования,В пути,transit
P004848,331,в пути следования,В пути,transit
P004849,331,В пути следования,В пути,transit
P004859,331,В пути следования,В пути,transit
P004890,333,В пути следования,В пути,transit
P004915,334,на Сахалине,На Сахалине,exceptional_non_administrative
P004928,335,В пути следования,В пути,transit
P004942,336,по пути,В пути,transit
P004958,337,в пути следования,В пути,transit
P004959,337,в пути следования,В пути,transit
P005007,340,В пути следования,В пути,transit
P005024,341,В пути следования,В пути,transit
P005051,342,В пути следования,В пути,transit
P005136,347,В пути следования,В пути,transit
P005192,350,По пути,В пути,transit
P005228,352,В пути следования,В пути,transit
P005233,353,В пути следования,В пути,transit
P005234,353,В пути следования,В пути,transit
P005236,353,В пути следования,В пути,transit
P005301,357,В пути следования,В пути,transit
P005597,373,По пути,В пути,transit
P005623,374,По пути,В пути,transit
P005627,374,на Сахалине,На Сахалине,exceptional_non_administrative
P005636,375,По пути,В пути,transit
P005640,375,По пути,В пути,transit
P005644,375,По пути,В пути,transit
P005677,377,По пути,В пути,transit
P005928,392,По пути,В пути,transit
P005979,395,По пути,В пути,transit
P006001,396,По пути,В пути,transit
P006006,396,На пути,В пути,transit
P006098,401,По пути,В пути,transit
P006103,402,По пути,В пути,transit
P006107,402,По пути,В пути,transit
P006166,415,Прусскоподданная,Прусская подданная,foreign_subjecthood
P006183,416,По пути,В пути,transit
P006187,416,Прусскоподданный,Прусский подданный,foreign_subjecthood
P006210,417,По пути,В пути,transit
P006217,418,По пути,В пути,transit
P006218,418,По пути,В пути,transit
P006250,419,Прусскоподданный,Прусский подданный,foreign_subjecthood
P006263,420,По пути,В пути,transit
P006316,423,Прусскоподданный,Прусский подданный,foreign_subjecthood
P006346,425,Прусскоподданный,Прусский подданный,foreign_subjecthood
P006407,429,из Чибисани,На Сахалине,exceptional_non_administrative
P006752,448,По пути,В пути,transit
P007138,468,По пути,В пути,transit
