name,sex,tradition
адам,male,russian_historical
агафья,female,russian_historical
акулина,female,russian_historical
александр,male,russian_historical
александра,female,russian_historical
алексей,male,russian_historical
анна,female,russian_historical
андрей,male,russian_historical
антон,male,russian_historical
авдотья,female,russian_historical
василий,male,russian_historical
вера,female,russian_historical
гавриил,male,russian_historical
георгий,male,russian_historical
григорий,male,russian_historical
дарья,female,russian_historical
дмитрий,male,russian_historical
домициан,male,russian_historical
дорофей,male,russian_historical
евдокия,female,russian_historical
евлампий,male,russian_historical
екатерина,female,russian_historical
елена,female,russian_historical
емельян,male,russian_historical
иван,male,russian_historical
игнатий,male,russian_historical
илья,male,russian_historical
ирина,female,russian_historical
капитолина,female,russian_historical
кирилл,male,russian_historical
лука,male,russian_historical
лукерья,female,russian_historical
марина,female,russian_historical
мария,female,russian_historical
марья,female,russian_historical
матрена,female,russian_historical
меланья,female,russian_historical
михаил,male,russian_historical
мойсей,male,russian_historical
назар,male,russian_historical
настасья,female,russian_historical
наталья,female,russian_historical
ненила,female,russian_historical
николай,male,russian_historical
ольга,female,russian_historical
осип,male,russian_historical
палладий,male,russian_historical
павел,male,russian_historical
панфил,male,russian_historical
пелагея,female,russian_historical
петр,male,russian_historical
потап,male,russian_historical
прасковья,female,russian_historical
савелий,male,russian_historical
семен,male,russian_historical
сергей,male,russian_historical
софья,female,russian_historical
степан,male,russian_historical
татьяна,female,russian_historical
федор,male,russian_historical
фекла,female,russian_historical
фома,male,russian_historical
юлия,female,russian_historical
яков,male,russian_historical
август,male,lutheran
вильгельм,male,lutheran
генрих,male,lutheran
каролина,female,lutheran
людвиг,male,lutheran
маргарита,female,catholic
наполеон,male,catholic
станислав,male,catholic
тадеуш,male,catholic
теодора,female,catholic
флорентина,female,catholic
францишка,female,catholic
юзеф,male,catholic
ян,male,catholic
зисия,female,jewish
мордухель,male,jewish
фатима,female,muslim
ахмед,male,muslim
мухаммед,male,muslim
абдул-малик,male,muslim
