origin_place,people
"Tambov Governorate",35
"Kiev Governorate",24
"Chernigov Governorate",22
"Novgorod Governorate",22
"Voronezh Governorate",19
"Penza Governorate",18
"Samara Governorate",18
"Kherson Governorate",17
"Perm Governorate",15
"Tver Governorate",15
"Moscow Governorate",14
"Vologda Governorate",14
"Don Host Oblast",13
"Pskov Governorate",12
"Bessarabia Governorate",11
"Kaluga Governorate",10
"Kursk Governorate",10
"Livonia Governorate",10
"Poltava Governorate",10
"Saratov Governorate",10
"Tomsk Governorate",10
"Vilna Governorate",10
"Yaroslavl Governorate",10
"Yekaterinoslav Governorate",10
"Kostroma Governorate",9
"Ryazan Governorate",9
"Smolensk Governorate",9
"Kharkov Governorate",8
"Oryol Governorate",8
"Kovno Governorate",7
"Vitebsk Governorate",7
"Vyatka Governorate",7
"Nizhny Novgorod Governorate",6
"Piotrkow Governorate",6
"Taurida Governorate",6
"Tula Governorate",6
"Volhynia Governorate",6
"Warsaw Governorate",6
"Saint Petersburg Governorate",5
Ust-Kara,5
"Vladimir Governorate",5
"Arkhangelsk Governorate",4
"Irkutsk Governorate",4
"Kalisz Governorate",4
"Kielce Governorate",4
"Simbirsk Governorate",4
"Astrakhan Governorate",3
"Courland Governorate",3
"Kutaisi Governorate",3
"Lomza Governorate",3
"Podolia Governorate",3
"Tiflis Governorate",3
"Tobolsk Governorate",3
"Grodno Governorate",2
"Kuban Oblast",2
"Lublin Governorate",2
"Mogilev Governorate",2
"Plock Governorate",2
"Primorye Oblast",2
"Stavropol Governorate",2
"Terek Oblast",2
"In transit",1
"Kazan Governorate",1
"Kingdom of Poland",1
"Minsk Governorate",1
"Olonets Governorate",1
"Orenburg Governorate",1
"Prussian subject",1
"Ufa Governorate",1
Vagrant,1
