sex,age_label,age_order_months,children
Female,"0 months",0,5
Male,"0 months",0,11
Female,"1 months",1,5
Male,"1 months",1,7
Female,"2 months",2,5
Male,"2 months",2,6
Female,"3 months",3,7
Male,"3 months",3,8
Female,"4 months",4,3
Male,"4 months",4,12
Female,"5 months",5,8
Male,"5 months",5,10
Female,"6 months",6,10
Male,"6 months",6,5
Female,"7 months",7,13
Male,"7 months",7,10
Female,"8 months",8,9
Male,"8 months",8,8
Female,"9 months",9,9
Male,"9 months",9,12
Female,"10 months",10,10
Male,"10 months",10,10
Female,"11 months",11,14
Male,"11 months",11,7
Female,"12 months",12,45
Male,"12 months",12,60
Female,"13 months",13,6
Male,"13 months",13,3
Female,"14 months",14,3
Male,"14 months",14,3
Female,"15 months",15,6
Male,"15 months",15,4
Female,"16 months",16,4
Male,"16 months",16,5
Female,"17 months",17,4
Male,"17 months",17,9
Female,"18 months",18,10
Male,"18 months",18,20
Female,"19 months",19,6
Male,"19 months",19,2
Female,"20 months",20,4
Male,"20 months",20,3
Female,"21 months",21,3
Male,"21 months",21,3
Female,"22 months",22,7
Male,"22 months",22,3
Female,"23 months",23,3
Male,"23 months",23,3
Female,"24 months",24,103
Male,"24 months",24,108
Female,"30 months",30,1
Male,"30 months",30,1
Male,"31 months",31,1
Male,"33 months",33,1
Female,"3 years",36,87
Male,"3 years",36,79
Female,"4 years",48,62
Male,"4 years",48,65
Female,"5 years",60,50
Male,"5 years",60,56
Female,"6 years",72,48
Male,"6 years",72,36
Female,"7 years",84,30
Male,"7 years",84,34
Female,"8 years",96,21
Male,"8 years",96,33
Female,"9 years",108,23
Male,"9 years",108,23
Female,"10 years",120,27
Male,"10 years",120,25
Female,"11 years",132,25
Male,"11 years",132,14
Female,"12 years",144,19
Male,"12 years",144,15
Female,"13 years",156,14
Male,"13 years",156,8
Female,"14 years",168,9
Male,"14 years",168,15
Female,"15 years",180,8
Male,"15 years",180,3
Female,"16 years",192,23
Male,"16 years",192,20
Female,"17 years",204,18
Male,"17 years",204,17
