district,settlement,people,completed_fields,possible_fields,completion_pct
"Alexandrovsky District","Arkovsky Way Station",11,106,121,87.6
"Alexandrovsky District","Arkovsky Cordon",4,38,44,86.4
"Korsakovsky District","Tarayskoye Winter Settlement",1,9,11,81.8
"Korsakovsky District",Lugovoe,74,608,814,74.7
"Korsakovsky District",Berezniki,159,1282,1749,73.3
"Korsakovsky District",Khomutovka,38,301,418,72.0
"Korsakovsky District","Popovskiye Yurts",110,867,1210,71.7
"Alexandrovsky District","Alexandrovsky Post",1338,10523,14718,71.5
"Korsakovsky District",Listvenichnoe,15,118,165,71.5
"Korsakovsky District",Dubki,41,322,451,71.4
