district,settlement,people,completed_fields,possible_fields,completion_pct
"Alexandrovsky District",Vangi,13,19,143,13.3
"Alexandrovsky District",Trambaus,6,13,66,19.7
"Alexandrovsky District",Mgachi,35,83,385,21.6
"Alexandrovsky District",Tangi,15,36,165,21.8
"Alexandrovsky District",Khoe,31,82,341,24.0
"Alexandrovsky District",Viakhty,17,45,187,24.1
"Korsakovsky District",Mauka,38,154,418,36.8
"Alexandrovsky District",Butakovo,24,98,264,37.1
"Tymovsky District",Voskresenskoe,183,802,2013,39.8
"Korsakovsky District",Siska,7,33,77,42.9
