district,settlement,household_id,household_size
"Alexandrovsky District","Alexandrovsky Post",199,16
"Alexandrovsky District","Alexandrovsky Post",225,13
"Tymovsky District",Rykovskoe,59,13
"Alexandrovsky District","Alexandrovsky Post",229,12
"Alexandrovsky District","Alexandrovsky Post",51,12
"Alexandrovsky District","Alexandrovsky Post",6,12
"Alexandrovsky District",Aleksandrovskoe,12,11
"Alexandrovsky District",Aleksandrovskoe,5,11
"Alexandrovsky District","Alexandrovsky Post",197,11
"Alexandrovsky District","Alexandrovsky Post",3,11
"Alexandrovsky District","Alexandrovsky Post",92,11
"Tymovsky District",Malo-Tymovo,33,11
"Tymovsky District",Rykovskoe,328,11
"Tymovsky District",Rykovskoe,66,11
"Alexandrovsky District",Aleksandrovskoe,10,10
"Alexandrovsky District","Alexandrovsky Post",14,10
"Alexandrovsky District","Alexandrovsky Post",191,10
"Alexandrovsky District",Korsakovskoe,47,10
"Korsakovsky District",Solovevka,26,10
"Tymovsky District",Rykovskoe,176,10
"Alexandrovsky District","Alexandrovsky Post",111,9
"Alexandrovsky District","Alexandrovsky Post",22,9
"Alexandrovsky District","Alexandrovsky Post",223,9
"Alexandrovsky District","Alexandrovsky Post",34,9
"Alexandrovsky District","Alexandrovsky Post",53,9
"Alexandrovsky District","Alexandrovsky Post",59,9
"Alexandrovsky District","Alexandrovsky Post",7,9
"Alexandrovsky District","Doue Post",36,9
"Alexandrovsky District",Korsakovskoe,48,9
"Tymovsky District",Rykovskoe,194,9
