illness,people
"Almshouse resident",10
Syphilis,7
Blind,6
"Mental disorder",5
Deaf,2
"Dropsy; Almshouse resident",2
"Physically weak",2
"Respiratory distress",2
"Blind; Mental disorder",1
"Bronchial catarrh",1
Cancer,1
"Chronic gastric and intestinal catarrh",1
Conjunctivitis,1
"Contusion injury",1
"Impaired vision",1
"Left arm disability",1
Mute,1
"Old left-elbow dislocation",1
Paralysed,1
Pleurisy,1
Rheumatism,1
"Rheumatism; Gastric catarrh",1
Tuberculosis,1
"Tuberculosis; Syphilis",1
"Women's ailment",1
