occupation,people
"General labourer",252
Agriculture,245
Carpenter,128
Shoemaker,88
Clerk,54
Sawyer,48
Tailor,48
Worker,42
"Dependent on husband",39
Joiner,34
"No occupation",31
Fitter,29
Blacksmith,27
"Senior warder",26
"Stove maker",22
Warder,22
Watchman,22
Shepherd,21
"Coal work",16
"Firewood carrier",16
"Hired worker",15
Trade,15
Cooper,12
"Junior warder",11
"Dog-sled driver",9
"Crop farmer",8
"Bread baker",7
Laundress,7
Messenger,6
Painter,6
Baker,5
Fisherman,5
"Harness maker",5
Hunter,5
"Medical assistant",5
Teacher,5
Leatherworker,4
Mason,4
Mechanic,4
Turner,4
Cook,3
"Hay carrier",3
Maid,3
"Mill worker",3
Miller,3
"Papirosa maker",3
Plasterer,3
"Tar maker",3
"Telegraph operator",3
Bookbinder,2
