origin_place,people
"Tambov Governorate",214
"Samara Governorate",186
"Kiev Governorate",179
"Poltava Governorate",170
"Chernigov Governorate",162
"Voronezh Governorate",160
"Don Host Oblast",150
"Saratov Governorate",138
"Nizhny Novgorod Governorate",129
"Perm Governorate",129
"Moscow Governorate",126
"Kherson Governorate",124
"Kursk Governorate",123
"Tver Governorate",120
"In transit",113
"Penza Governorate",111
"Novgorod Governorate",107
"Kharkov Governorate",104
"Yekaterinoslav Governorate",103
"Oryol Governorate",97
"Ryazan Governorate",93
"Podolia Governorate",83
"Vladimir Governorate",83
"Smolensk Governorate",80
"Pskov Governorate",79
"Bessarabia Governorate",78
"Kostroma Governorate",78
"Vologda Governorate",78
"Vyatka Governorate",78
"Livonia Governorate",74
"Vilna Governorate",73
"Vitebsk Governorate",73
"Tomsk Governorate",71
"Yaroslavl Governorate",71
"Tula Governorate",70
"Kazan Governorate",67
"Kovno Governorate",65
"Simbirsk Governorate",65
"Kaluga Governorate",64
"Warsaw Governorate",63
"Kuban Oblast",56
"Volhynia Governorate",55
"Orenburg Governorate",49
"Saint Petersburg Governorate",49
"Stavropol Governorate",49
"Irkutsk Governorate",46
"Minsk Governorate",46
"Tobolsk Governorate",45
"Yeniseysk Governorate",44
"Taurida Governorate",43
"Grodno Governorate",38
"Kalisz Governorate",35
"Courland Governorate",34
"Piotrkow Governorate",34
Ust-Kara,34
"Mogilev Governorate",33
"Baku Governorate",32
"Lublin Governorate",27
"Grand Duchy of Finland",25
"Ufa Governorate",25
"Lomza Governorate",24
"Radom Governorate",24
"Primorye Oblast",22
Vagrant,22
"Kielce Governorate",20
"Plock Governorate",20
"Tiflis Governorate",19
"Estonia Governorate",18
"Suwalki Governorate",18
"Arkhangelsk Governorate",12
"Erivan Governorate",12
"Astrakhan Governorate",10
"Elisavetpol Governorate",10
"Kutaisi Governorate",9
"Terek Oblast",9
"Transbaikal Oblast",9
"Semipalatinsk Oblast",8
"Syr-Darya Oblast",8
"Olonets Governorate",7
"Prussian subject",7
"Kingdom of Poland",6
"Amur Oblast",5
"Dagestan Oblast",3
Siberia,3
"Siedlce Governorate",3
"Austrian subject",2
"Persian subject",2
"Samarkand Oblast",2
"Vyborg Governorate",2
"Abo and Bjorneborg Governorate",1
"Akmolinsk Oblast",1
China,1
"Does not remember",1
"Emirate of Bukhara",1
"Kingdom of Romania",1
"Ottoman subject",1
"Yakutsk Oblast",1
