settlement,people,district
"Alexandrovsky Post",1338,"Alexandrovsky District"
Rykovskoe,1266,"Tymovsky District"
Derbinskoe,632,"Tymovsky District"
Novo-Mikhaylovskoe,446,"Alexandrovsky District"
Andree-Ivanovskoe,364,"Tymovsky District"
Palevo,283,"Tymovsky District"
"Doue Post",274,"Alexandrovsky District"
Korsakovskoe,260,"Alexandrovsky District"
Voskresenskoe,183,"Tymovsky District"
Malo-Tymovo,177,"Tymovsky District"
"Verkhniy Armudan",175,"Tymovsky District"
Berezniki,159,"Korsakovsky District"
"Korsakovsky Post",148,"Korsakovsky District"
"Popovskiye Yurts",110,"Korsakovsky District"
"Arkovo I",104,"Alexandrovsky District"
Aleksandrovskoe,95,"Alexandrovsky District"
"Nizhniy Armudan",94,"Tymovsky District"
"Krasnyy Yar",90,"Alexandrovsky District"
Kresty,89,"Korsakovsky District"
Vladimirovka,89,"Korsakovsky District"
"Arkovo II",86,"Alexandrovsky District"
Lugovoe,74,"Korsakovsky District"
Siyantsy,71,"Korsakovsky District"
Solovevka,69,"Korsakovsky District"
"Bolshoe Takoe",68,"Korsakovsky District"
Uskovo,68,"Tymovsky District"
Poro-an-Tomari,67,"Korsakovsky District"
Lyutoga,53,"Korsakovsky District"
"Maloe Takoe",48,"Korsakovsky District"
Dubki,41,"Korsakovsky District"
"Bolshaya Elan",40,"Korsakovsky District"
Khomutovka,38,"Korsakovsky District"
Mauka,38,"Korsakovsky District"
"Arkovo III",35,"Alexandrovsky District"
Mgachi,35,"Alexandrovsky District"
Khoe,31,"Alexandrovsky District"
"Tretya Pad",30,"Korsakovsky District"
Mitsulka,25,"Korsakovsky District"
Butakovo,24,"Alexandrovsky District"
"Golyy Mys",24,"Korsakovsky District"
Viakhty,17,"Alexandrovsky District"
Listvenichnoe,15,"Korsakovsky District"
Tangi,15,"Alexandrovsky District"
Vangi,13,"Alexandrovsky District"
"Arkovsky Way Station",11,"Alexandrovsky District"
"Vtoraya Pad",10,"Korsakovsky District"
Siska,7,"Korsakovsky District"
"Pervaya Pad",6,"Korsakovsky District"
Trambaus,6,"Alexandrovsky District"
"Arkovsky Cordon",4,"Alexandrovsky District"
"Tarayskoye Winter Settlement",1,"Korsakovsky District"
